iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,1035.3380126953125,"[-0.14396357536315918, 0.6032000780105591, 0.04342544078826904, -0.2581104040145874, 0.9326738119125366, -0.9419441223144531, -0.06439018249511719, -0.004587769508361816, -0.22220075130462646, -0.8007611036300659, 0.8025690317153931, 0.46931445598602295, -0.12952589988708496, 0.9081625938415527, -0.5443514585494995, 0.34003472328186035, 0.5688362121582031, -0.09046125411987305, -0.1090935468673706, -0.8105409145355225]",1035.3380126953125,"[[-0.14396357536315918, 0.6032000780105591, 0.04342544078826904, -0.2581104040145874, 0.9326738119125366, -0.9419441223144531, -0.06439018249511719, -0.004587769508361816, -0.22220075130462646, -0.8007611036300659, 0.8025690317153931, 0.46931445598602295, -0.12952589988708496, 0.9081625938415527, -0.5443514585494995, 0.34003472328186035, 0.5688362121582031, -0.09046125411987305, -0.1090935468673706, -0.8105409145355225]]",1
1,22,1294.137451171875,"[-0.8533321619033813, -0.02540278434753418, 0.8017492294311523, 0.6685595512390137, -0.7194055318832397, 0.38957273960113525, 0.8323780298233032, -0.1587965488433838, 0.5971914529800415, 0.3927706480026245, 0.41291284561157227, 0.6215736865997314, 0.37802350521087646, -0.8812775611877441, -0.8793096542358398, 0.9005627632141113, -0.7199350595474243, -0.8778430223464966, 0.3541656732559204, 0.33942580223083496]",1035.3380126953125,"[[-0.14396357536315918, 0.6032000780105591, 0.04342544078826904, -0.2581104040145874, 0.9326738119125366, -0.9419441223144531, -0.06439018249511719, -0.004587769508361816, -0.22220075130462646, -0.8007611036300659, 0.8025690317153931, 0.46931445598602295, -0.12952589988708496, 0.9081625938415527, -0.5443514585494995, 0.34003472328186035, 0.5688362121582031, -0.09046125411987305, -0.1090935468673706, -0.8105409145355225]]",1
2,23,1121.6734619140625,"[0.48714447021484375, -0.8610355854034424, 0.714160680770874, 0.5783014297485352, -0.8709735870361328, -0.3257545232772827, -0.9349700212478638, 0.2132660150527954, -0.9774953126907349, -0.07702338695526123, 0.5628081560134888, 0.970939040184021, 0.18243300914764404, 0.4912536144256592, -0.10851681232452393, -0.40694236755371094, 0.2266942262649536, -0.9540016651153564, 0.4888606071472168, -0.4321953058242798]",1035.3380126953125,"[[-0.14396357536315918, 0.6032000780105591, 0.04342544078826904, -0.2581104040145874, 0.9326738119125366, -0.9419441223144531, -0.06439018249511719, -0.004587769508361816, -0.22220075130462646, -0.8007611036300659, 0.8025690317153931, 0.46931445598602295, -0.12952589988708496, 0.9081625938415527, -0.5443514585494995, 0.34003472328186035, 0.5688362121582031, -0.09046125411987305, -0.1090935468673706, -0.8105409145355225]]",1
3,24,1413.9488525390625,"[0.7883557081222534, 0.40564024448394775, -0.7117867469787598, -0.45532894134521484, 0.3951989412307739, 0.7686382532119751, -0.9509220123291016, -0.5228983163833618, 0.6821720600128174, -0.03508162498474121, -0.616288423538208, -0.7747758626937866, -0.6922516822814941, 0.5454070568084717, 0.4233332872390747, -0.8852282762527466, -0.45357608795166016, 0.7403641939163208, -0.15682804584503174, 0.13470005989074707]",1035.3380126953125,"[[-0.14396357536315918, 0.6032000780105591, 0.04342544078826904, -0.2581104040145874, 0.9326738119125366, -0.9419441223144531, -0.06439018249511719, -0.004587769508361816, -0.22220075130462646, -0.8007611036300659, 0.8025690317153931, 0.46931445598602295, -0.12952589988708496, 0.9081625938415527, -0.5443514585494995, 0.34003472328186035, 0.5688362121582031, -0.09046125411987305, -0.1090935468673706, -0.8105409145355225]]",1
4,25,700.6043090820312,"[0.7739771604537964, -0.31592047214508057, -0.5688948631286621, 0.14823615550994873, 0.22873711585998535, 0.25112271308898926, 0.1887110471725464, -0.3514130115509033, -0.973696231842041, 0.5285228490829468, 0.11318492889404297, -0.7902160882949829, -0.7530372142791748, -0.0027070045471191406, -0.3173779249191284, 0.21459722518920898, -0.6143530607223511, 0.32364916801452637, 0.6622917652130127, 0.6433579921722412]",700.6043090820312,"[[0.7739771604537964, -0.31592047214508057, -0.5688948631286621, 0.14823615550994873, 0.22873711585998535, 0.25112271308898926, 0.1887110471725464, -0.3514130115509033, -0.973696231842041, 0.5285228490829468, 0.11318492889404297, -0.7902160882949829, -0.7530372142791748, -0.0027070045471191406, -0.3173779249191284, 0.21459722518920898, -0.6143530607223511, 0.32364916801452637, 0.6622917652130127, 0.6433579921722412]]",2
5,26,989.914794921875,"[-0.0962069034576416, 0.6920018196105957, 0.32094502449035645, 0.19375789165496826, 0.4421982765197754, -0.18066775798797607, 0.04725074768066406, -0.28855037689208984, 0.699741005897522, -0.9702355861663818, 0.43884003162384033, -0.25485658645629883, -0.24922287464141846, 0.6090967655181885, 0.9609929323196411, -0.6394528150558472, -0.9841341972351074, 0.42979300022125244, 0.6721984148025513, 0.033007264137268066]",700.6043090820312,"[[0.7739771604537964, -0.31592047214508057, -0.5688948631286621, 0.14823615550994873, 0.22873711585998535, 0.25112271308898926, 0.1887110471725464, -0.3514130115509033, -0.973696231842041, 0.5285228490829468, 0.11318492889404297, -0.7902160882949829, -0.7530372142791748, -0.0027070045471191406, -0.3173779249191284, 0.21459722518920898, -0.6143530607223511, 0.32364916801452637, 0.6622917652130127, 0.6433579921722412]]",2
6,27,1131.3017578125,"[-0.6830074787139893, -0.1172415018081665, -0.9595720767974854, 0.7671178579330444, 0.3712831735610962, -0.3644695281982422, 0.27140820026397705, -0.503695011138916, 0.5465158224105835, 0.4296938180923462, 0.6570488214492798, -0.32514142990112305, 0.9231036901473999, -0.830126166343689, 0.24582242965698242, -0.9529479742050171, -0.8217043876647949, 0.15377044677734375, 0.02887117862701416, 0.4290733337402344]",700.6043090820312,"[[0.7739771604537964, -0.31592047214508057, -0.5688948631286621, 0.14823615550994873, 0.22873711585998535, 0.25112271308898926, 0.1887110471725464, -0.3514130115509033, -0.973696231842041, 0.5285228490829468, 0.11318492889404297, -0.7902160882949829, -0.7530372142791748, -0.0027070045471191406, -0.3173779249191284, 0.21459722518920898, -0.6143530607223511, 0.32364916801452637, 0.6622917652130127, 0.6433579921722412]]",2
7,28,1035.8841552734375,"[0.2505851984024048, 0.3941664695739746, 0.35538506507873535, 0.9554091691970825, -0.03663754463195801, -0.7727092504501343, 0.12029170989990234, -0.3782135248184204, -0.6623824834823608, -0.2920393943786621, 0.817528486251831, 0.6511808633804321, -0.47550368309020996, -0.018919944763183594, -0.4912269115447998, 0.9597922563552856, -0.752177357673645, 0.29387903213500977, -0.9781135320663452, 0.7887414693832397]",700.6043090820312,"[[0.7739771604537964, -0.31592047214508057, -0.5688948631286621, 0.14823615550994873, 0.22873711585998535, 0.25112271308898926, 0.1887110471725464, -0.3514130115509033, -0.973696231842041, 0.5285228490829468, 0.11318492889404297, -0.7902160882949829, -0.7530372142791748, -0.0027070045471191406, -0.3173779249191284, 0.21459722518920898, -0.6143530607223511, 0.32364916801452637, 0.6622917652130127, 0.6433579921722412]]",2
8,29,1272.1572265625,"[-0.31787705421447754, -0.4285961389541626, 0.7587742805480957, 0.6849137544631958, 0.989162802696228, -0.926956295967102, -0.9516565799713135, 0.14920330047607422, -0.4795842170715332, -0.38352715969085693, -0.5687825679779053, 0.9293729066848755, 0.5589032173156738, -0.40432310104370117, 0.04906129837036133, -0.6147186756134033, 0.1450575590133667, 0.5759419202804565, 0.3907550573348999, -0.9495038986206055]",700.6043090820312,"[[0.7739771604537964, -0.31592047214508057, -0.5688948631286621, 0.14823615550994873, 0.22873711585998535, 0.25112271308898926, 0.1887110471725464, -0.3514130115509033, -0.973696231842041, 0.5285228490829468, 0.11318492889404297, -0.7902160882949829, -0.7530372142791748, -0.0027070045471191406, -0.3173779249191284, 0.21459722518920898, -0.6143530607223511, 0.32364916801452637, 0.6622917652130127, 0.6433579921722412]]",2
9,30,1048.9156494140625,"[0.15185236930847168, 0.5577640533447266, 0.478918194770813, 0.2975505590438843, 0.4029812812805176, 0.7739685773849487, 0.8493061065673828, -0.10571956634521484, -0.8560700416564941, 0.7685669660568237, 0.8117709159851074, -0.6437584161758423, 0.028342366218566895, -0.5915902853012085, -0.7892528772354126, -0.7921205759048462, -0.1181035041809082, 0.43513572216033936, -0.6028879880905151, -0.663409948348999]",700.6043090820312,"[[0.7739771604537964, -0.31592047214508057, -0.5688948631286621, 0.14823615550994873, 0.22873711585998535, 0.25112271308898926, 0.1887110471725464, -0.3514130115509033, -0.973696231842041, 0.5285228490829468, 0.11318492889404297, -0.7902160882949829, -0.7530372142791748, -0.0027070045471191406, -0.3173779249191284, 0.21459722518920898, -0.6143530607223511, 0.32364916801452637, 0.6622917652130127, 0.6433579921722412]]",2
