iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,206.38844299316406,"[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]",206.38844299316406,"[[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]]",1
1,22,942.0774536132812,"[0.7278155088424683, -0.17645812034606934, -0.8145178556442261, -0.9583054780960083, -0.8717949390411377, -0.14767777919769287, -0.23097670078277588, -0.21846449375152588, -0.7338494062423706, -0.23968291282653809]",206.38844299316406,"[[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]]",1
2,23,671.4205322265625,"[-0.28360939025878906, -0.5171706676483154, -0.022101163864135742, 0.4760904312133789, -0.7652428150177002, 0.6060066223144531, -0.8548171520233154, -0.5100232362747192, 0.8303101062774658, -0.5603146553039551]",206.38844299316406,"[[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]]",1
3,24,344.8849182128906,"[-0.40564703941345215, 0.025452733039855957, 0.4687800407409668, 0.05560135841369629, 0.721970796585083, -0.8277542591094971, 0.7210651636123657, 0.1521550416946411, 0.5204761028289795, -0.34352970123291016]",206.38844299316406,"[[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]]",1
4,25,634.7548828125,"[0.076835036277771, -0.7572323083877563, -0.8678855895996094, -0.7799863815307617, 0.7349905967712402, -0.07512176036834717, -0.11429107189178467, 0.5872802734375, -0.3240314722061157, 0.13932585716247559]",206.38844299316406,"[[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]]",1
5,26,592.1607666015625,"[0.7223625183105469, -0.6253917217254639, 0.07920253276824951, 0.01811206340789795, 0.2499697208404541, -0.5326814651489258, -0.7285175323486328, -0.9684736728668213, 0.21933209896087646, -0.3440467119216919]",206.38844299316406,"[[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]]",1
6,27,411.9781494140625,"[0.43959200382232666, 0.5216574668884277, 0.04120373725891113, -0.5176562070846558, 0.47465062141418457, -0.42302513122558594, -0.9779380559921265, -0.3370361328125, -0.014749646186828613, 0.2653754949569702]",206.38844299316406,"[[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]]",1
7,28,625.6841430664062,"[-0.8540357351303101, -0.8084070682525635, 0.937727689743042, 0.10035765171051025, 0.19691729545593262, 0.05765664577484131, -0.09793055057525635, -0.7850915193557739, -0.8403346538543701, 0.2191544771194458]",206.38844299316406,"[[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]]",1
8,29,505.2267150878906,"[-0.9290101528167725, 0.2502167224884033, 0.6198674440383911, 0.860680341720581, -0.6915469169616699, -0.46263980865478516, -0.33512306213378906, 0.26836323738098145, -0.7514554262161255, 0.7886499166488647]",206.38844299316406,"[[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]]",1
9,30,1026.4744873046875,"[-0.947691798210144, -0.6511094570159912, -0.2993859052658081, -0.8924235105514526, -0.9486839771270752, 0.5819544792175293, -0.5713883638381958, -0.8465133905410767, 0.7515621185302734, -0.3340485095977783]",206.38844299316406,"[[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]]",1
10,31,322.147216796875,"[-0.20065200328826904, -0.5217610597610474, -0.024686098098754883, 0.8150768280029297, 0.7114927768707275, -0.579140305519104, 0.11063146591186523, -0.19947469234466553, -0.7439719438552856, 0.9241468906402588]",206.38844299316406,"[[-0.022959470748901367, -0.3260021209716797, 0.6424850225448608, 0.501936674118042, 0.11775171756744385, 0.10082674026489258, -0.6904438734054565, -0.2052546739578247, -0.6459692716598511, 0.7157363891601562]]",1
11,32,164.69760131835938,"[0.21855759620666504, -0.36840546131134033, 0.2388523817062378, -0.01789844036102295, 0.21394574642181396, -0.6152535676956177, -0.3335679769515991, 0.5449668169021606, 0.04152345657348633, 0.33688437938690186]",164.69760131835938,"[[0.21855759620666504, -0.36840546131134033, 0.2388523817062378, -0.01789844036102295, 0.21394574642181396, -0.6152535676956177, -0.3335679769515991, 0.5449668169021606, 0.04152345657348633, 0.33688437938690186]]",2
