iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,1343.130126953125,"[0.4265815019607544, -0.475070595741272, -0.7703388929367065, -0.3670591115951538, -0.10241258144378662, -0.738634467124939, 0.017216086387634277, 0.7380211353302002, 0.2093602418899536, -0.6043177843093872, 0.5245000123977661, -0.9507118463516235, -0.8528807163238525, 0.19378268718719482, -0.6310566663742065, -0.5253558158874512, -0.2241814136505127, 0.5972744226455688, -0.6183880567550659, -0.6562485694885254]",1343.130126953125,"[[0.4265815019607544, -0.475070595741272, -0.7703388929367065, -0.3670591115951538, -0.10241258144378662, -0.738634467124939, 0.017216086387634277, 0.7380211353302002, 0.2093602418899536, -0.6043177843093872, 0.5245000123977661, -0.9507118463516235, -0.8528807163238525, 0.19378268718719482, -0.6310566663742065, -0.5253558158874512, -0.2241814136505127, 0.5972744226455688, -0.6183880567550659, -0.6562485694885254]]",1
1,22,803.6516723632812,"[0.873857855796814, -0.254119873046875, -0.49765169620513916, -0.7323845624923706, -0.6161133050918579, -0.5305107831954956, 0.9168061017990112, 0.19874584674835205, 0.004874825477600098, -0.5859464406967163, 0.00217437744140625, -0.4403197765350342, -0.7412803173065186, -0.11515891551971436, 0.1308232545852661, -0.5018130540847778, 0.28015363216400146, -0.13220655918121338, -0.3276575803756714, -0.07915771007537842]",803.6516723632812,"[[0.873857855796814, -0.254119873046875, -0.49765169620513916, -0.7323845624923706, -0.6161133050918579, -0.5305107831954956, 0.9168061017990112, 0.19874584674835205, 0.004874825477600098, -0.5859464406967163, 0.00217437744140625, -0.4403197765350342, -0.7412803173065186, -0.11515891551971436, 0.1308232545852661, -0.5018130540847778, 0.28015363216400146, -0.13220655918121338, -0.3276575803756714, -0.07915771007537842]]",2
2,23,1597.612548828125,"[-0.2831575870513916, -0.7456438541412354, 0.1201179027557373, 0.8549795150756836, -0.6805869340896606, -0.5081796646118164, -0.4757784605026245, -0.22949671745300293, -0.03145754337310791, -0.2754291296005249, 0.702692985534668, -0.6909493207931519, -0.8541128635406494, 0.006684541702270508, -0.690922737121582, -0.7050939798355103, -0.7553505897521973, -0.22985053062438965, -0.8296539783477783, -0.4496263265609741]",803.6516723632812,"[[0.873857855796814, -0.254119873046875, -0.49765169620513916, -0.7323845624923706, -0.6161133050918579, -0.5305107831954956, 0.9168061017990112, 0.19874584674835205, 0.004874825477600098, -0.5859464406967163, 0.00217437744140625, -0.4403197765350342, -0.7412803173065186, -0.11515891551971436, 0.1308232545852661, -0.5018130540847778, 0.28015363216400146, -0.13220655918121338, -0.3276575803756714, -0.07915771007537842]]",2
3,24,591.050537109375,"[-0.7697407007217407, -0.16042137145996094, 0.027101755142211914, -0.21937239170074463, -0.5250102281570435, -0.4808250665664673, -0.4962890148162842, -0.25229334831237793, -0.23323142528533936, 0.1702214479446411, -0.9389746189117432, -0.31173038482666016, 0.2987253665924072, 0.6424309015274048, 0.4483863115310669, -0.05272996425628662, -0.3584163188934326, 0.07386159896850586, -0.11142528057098389, -0.5403082370758057]",591.050537109375,"[[-0.7697407007217407, -0.16042137145996094, 0.027101755142211914, -0.21937239170074463, -0.5250102281570435, -0.4808250665664673, -0.4962890148162842, -0.25229334831237793, -0.23323142528533936, 0.1702214479446411, -0.9389746189117432, -0.31173038482666016, 0.2987253665924072, 0.6424309015274048, 0.4483863115310669, -0.05272996425628662, -0.3584163188934326, 0.07386159896850586, -0.11142528057098389, -0.5403082370758057]]",3
4,25,1353.6422119140625,"[-0.9399676322937012, -0.5881325006484985, -0.004799604415893555, 0.8299238681793213, -0.8211500644683838, -0.09028279781341553, -0.9211342334747314, 0.16032719612121582, -0.5934455394744873, -0.21666991710662842, 0.7773858308792114, -0.414420485496521, 0.6641377210617065, 0.5465850830078125, -0.2752734422683716, 0.4311957359313965, -0.20721209049224854, -0.19318437576293945, -0.7340512275695801, -0.9644246101379395]",591.050537109375,"[[-0.7697407007217407, -0.16042137145996094, 0.027101755142211914, -0.21937239170074463, -0.5250102281570435, -0.4808250665664673, -0.4962890148162842, -0.25229334831237793, -0.23323142528533936, 0.1702214479446411, -0.9389746189117432, -0.31173038482666016, 0.2987253665924072, 0.6424309015274048, 0.4483863115310669, -0.05272996425628662, -0.3584163188934326, 0.07386159896850586, -0.11142528057098389, -0.5403082370758057]]",3
5,26,759.3143920898438,"[-0.9608392715454102, -0.35818958282470703, 0.6469768285751343, 0.34686851501464844, 0.3682938814163208, -0.4711122512817383, -0.6983875036239624, -0.12712669372558594, 0.3494652509689331, 0.1977928876876831, 0.1743006706237793, 0.18638157844543457, -0.004774570465087891, 0.7785451412200928, -0.5107356309890747, -0.08121240139007568, -0.834601640701294, -0.14164197444915771, 0.13556063175201416, 0.4812711477279663]",591.050537109375,"[[-0.7697407007217407, -0.16042137145996094, 0.027101755142211914, -0.21937239170074463, -0.5250102281570435, -0.4808250665664673, -0.4962890148162842, -0.25229334831237793, -0.23323142528533936, 0.1702214479446411, -0.9389746189117432, -0.31173038482666016, 0.2987253665924072, 0.6424309015274048, 0.4483863115310669, -0.05272996425628662, -0.3584163188934326, 0.07386159896850586, -0.11142528057098389, -0.5403082370758057]]",3
6,27,772.7264404296875,"[0.791924238204956, -0.5181857347488403, 0.13519549369812012, -0.35859012603759766, -0.1809769868850708, -0.8302123546600342, 0.8528658151626587, -0.04846012592315674, 0.46036219596862793, 0.4069586992263794, -0.6353672742843628, 0.314372181892395, -0.46484267711639404, -0.19647109508514404, 0.9070472717285156, -0.7036569118499756, 0.24793779850006104, 0.10374641418457031, 0.11455202102661133, -0.09167051315307617]",591.050537109375,"[[-0.7697407007217407, -0.16042137145996094, 0.027101755142211914, -0.21937239170074463, -0.5250102281570435, -0.4808250665664673, -0.4962890148162842, -0.25229334831237793, -0.23323142528533936, 0.1702214479446411, -0.9389746189117432, -0.31173038482666016, 0.2987253665924072, 0.6424309015274048, 0.4483863115310669, -0.05272996425628662, -0.3584163188934326, 0.07386159896850586, -0.11142528057098389, -0.5403082370758057]]",3
7,28,751.06689453125,"[-0.8344318866729736, -0.5755267143249512, 0.6649672985076904, -0.39522266387939453, -0.44615840911865234, -0.6503962278366089, -0.4298088550567627, -0.549506425857544, -0.383672833442688, -0.8002578020095825, -0.20017337799072266, 0.16434848308563232, -0.08390140533447266, -0.2885805368423462, -0.19262635707855225, 0.323635458946228, 0.032108306884765625, 0.026549816131591797, -0.1918947696685791, -0.0819709300994873]",591.050537109375,"[[-0.7697407007217407, -0.16042137145996094, 0.027101755142211914, -0.21937239170074463, -0.5250102281570435, -0.4808250665664673, -0.4962890148162842, -0.25229334831237793, -0.23323142528533936, 0.1702214479446411, -0.9389746189117432, -0.31173038482666016, 0.2987253665924072, 0.6424309015274048, 0.4483863115310669, -0.05272996425628662, -0.3584163188934326, 0.07386159896850586, -0.11142528057098389, -0.5403082370758057]]",3
8,29,771.7467041015625,"[-0.2586669921875, -0.46732282638549805, -0.11892485618591309, -0.2606312036514282, -0.0003172159194946289, -0.4910837411880493, 0.6623961925506592, 0.5464760065078735, 0.7888175249099731, -0.9276562929153442, -0.11865007877349854, -0.17288315296173096, -0.5460819005966187, 0.8021899461746216, -0.3712860345840454, -0.28569579124450684, -0.43848395347595215, -0.09128165245056152, -0.10322451591491699, -0.8518832921981812]",591.050537109375,"[[-0.7697407007217407, -0.16042137145996094, 0.027101755142211914, -0.21937239170074463, -0.5250102281570435, -0.4808250665664673, -0.4962890148162842, -0.25229334831237793, -0.23323142528533936, 0.1702214479446411, -0.9389746189117432, -0.31173038482666016, 0.2987253665924072, 0.6424309015274048, 0.4483863115310669, -0.05272996425628662, -0.3584163188934326, 0.07386159896850586, -0.11142528057098389, -0.5403082370758057]]",3
9,30,901.013916015625,"[0.2294025421142578, -0.2600843906402588, 0.668455958366394, 0.1585693359375, -0.4142047166824341, 0.22922611236572266, 0.18112707138061523, -0.19574522972106934, 0.8092085123062134, -0.6284438371658325, -0.10858821868896484, -0.1949610710144043, -0.023780345916748047, -0.08802878856658936, -0.7430580854415894, -0.9664306640625, -0.516074538230896, 0.3777170181274414, 0.20663833618164062, -0.5978424549102783]",591.050537109375,"[[-0.7697407007217407, -0.16042137145996094, 0.027101755142211914, -0.21937239170074463, -0.5250102281570435, -0.4808250665664673, -0.4962890148162842, -0.25229334831237793, -0.23323142528533936, 0.1702214479446411, -0.9389746189117432, -0.31173038482666016, 0.2987253665924072, 0.6424309015274048, 0.4483863115310669, -0.05272996425628662, -0.3584163188934326, 0.07386159896850586, -0.11142528057098389, -0.5403082370758057]]",3
