iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,1529.8753662109375,"[0.7988683581352234, 0.8195745944976807, 0.7147318124771118, -0.23191410303115845, -0.02926861122250557, -0.40011557936668396, 0.7527912855148315, -0.736439049243927, -0.7490850687026978, -0.4970213770866394, -0.3356306552886963, -0.998321533203125, -0.982974112033844, 0.7861543297767639, -0.2888217270374298, 0.7540585994720459, -0.5973190665245056, -0.20060241222381592, 1.0, 0.8160280585289001]",1529.8753662109375,"[[0.7988683581352234, 0.8195745944976807, 0.7147318124771118, -0.23191410303115845, -0.02926861122250557, -0.40011557936668396, 0.7527912855148315, -0.736439049243927, -0.7490850687026978, -0.4970213770866394, -0.3356306552886963, -0.998321533203125, -0.982974112033844, 0.7861543297767639, -0.2888217270374298, 0.7540585994720459, -0.5973190665245056, -0.20060241222381592, 1.0, 0.8160280585289001]]",1
1,22,1498.42041015625,"[0.0916019082069397, 0.8735347390174866, 0.7314760088920593, -0.5054352283477783, -0.8180963397026062, 0.1528329998254776, -0.7798711657524109, 0.6823042035102844, 0.4893189072608948, 0.889553964138031, -0.9663159847259521, 0.251518577337265, 0.9057483077049255, 0.8325139880180359, -0.3369709849357605, -0.6515076160430908, 0.8582983016967773, -0.7487879395484924, -0.8847717642784119, 0.7684752941131592]",1498.42041015625,"[[0.0916019082069397, 0.8735347390174866, 0.7314760088920593, -0.5054352283477783, -0.8180963397026062, 0.1528329998254776, -0.7798711657524109, 0.6823042035102844, 0.4893189072608948, 0.889553964138031, -0.9663159847259521, 0.251518577337265, 0.9057483077049255, 0.8325139880180359, -0.3369709849357605, -0.6515076160430908, 0.8582983016967773, -0.7487879395484924, -0.8847717642784119, 0.7684752941131592]]",2
2,23,1683.4375,"[0.926243007183075, -0.9701810479164124, -0.29049888253211975, 0.6477389335632324, 0.561440110206604, 0.06298071146011353, -0.5871278643608093, 0.7207534313201904, -0.8430067300796509, 1.0, -0.8063179850578308, -0.4561735689640045, -0.8551443219184875, 0.8387783765792847, -0.7506546974182129, 0.23737166821956635, 0.6906760931015015, 0.3562546372413635, 0.4647253751754761, -0.4925619065761566]",1498.42041015625,"[[0.0916019082069397, 0.8735347390174866, 0.7314760088920593, -0.5054352283477783, -0.8180963397026062, 0.1528329998254776, -0.7798711657524109, 0.6823042035102844, 0.4893189072608948, 0.889553964138031, -0.9663159847259521, 0.251518577337265, 0.9057483077049255, 0.8325139880180359, -0.3369709849357605, -0.6515076160430908, 0.8582983016967773, -0.7487879395484924, -0.8847717642784119, 0.7684752941131592]]",2
3,24,1523.3514404296875,"[-0.6680796146392822, 0.023340588435530663, 0.5980202555656433, 0.9069470167160034, -0.11253909766674042, 0.28042250871658325, 0.9967414736747742, -0.692046046257019, -0.5626183748245239, 0.5281146764755249, 0.9767866730690002, 0.5406331419944763, 0.2689749598503113, -0.979069709777832, -0.5245973467826843, -0.9508236646652222, -0.5797417163848877, 0.6639531254768372, 0.4510055184364319, 0.9851279258728027]",1498.42041015625,"[[0.0916019082069397, 0.8735347390174866, 0.7314760088920593, -0.5054352283477783, -0.8180963397026062, 0.1528329998254776, -0.7798711657524109, 0.6823042035102844, 0.4893189072608948, 0.889553964138031, -0.9663159847259521, 0.251518577337265, 0.9057483077049255, 0.8325139880180359, -0.3369709849357605, -0.6515076160430908, 0.8582983016967773, -0.7487879395484924, -0.8847717642784119, 0.7684752941131592]]",2
4,25,1362.9031982421875,"[-0.07304828613996506, 0.5787095427513123, 0.7720071077346802, -0.6084023714065552, 0.5429210662841797, 0.8949765563011169, 0.24583417177200317, -0.554884135723114, 0.5684071183204651, 0.12448076903820038, -0.6980717778205872, -0.32820025086402893, 0.4072968661785126, -0.958719789981842, -1.0, 0.9278664588928223, -0.5276837348937988, -0.46241599321365356, 0.7140889167785645, -0.6190809607505798]",1362.9031982421875,"[[-0.07304828613996506, 0.5787095427513123, 0.7720071077346802, -0.6084023714065552, 0.5429210662841797, 0.8949765563011169, 0.24583417177200317, -0.554884135723114, 0.5684071183204651, 0.12448076903820038, -0.6980717778205872, -0.32820025086402893, 0.4072968661785126, -0.958719789981842, -1.0, 0.9278664588928223, -0.5276837348937988, -0.46241599321365356, 0.7140889167785645, -0.6190809607505798]]",3
5,26,1446.1939697265625,"[0.9911032915115356, -0.01593318209052086, 0.44641438126564026, -0.9406021237373352, 0.801872968673706, 0.9430046081542969, 0.9043846726417542, -0.7684300541877747, -0.21989914774894714, -0.5642433166503906, 0.9575262665748596, 0.9640928506851196, 0.5281585454940796, 0.7239751815795898, 0.5911128520965576, 0.9667015671730042, -0.8170639872550964, -0.6656652092933655, -0.9471688270568848, 0.4945295453071594]",1362.9031982421875,"[[-0.07304828613996506, 0.5787095427513123, 0.7720071077346802, -0.6084023714065552, 0.5429210662841797, 0.8949765563011169, 0.24583417177200317, -0.554884135723114, 0.5684071183204651, 0.12448076903820038, -0.6980717778205872, -0.32820025086402893, 0.4072968661785126, -0.958719789981842, -1.0, 0.9278664588928223, -0.5276837348937988, -0.46241599321365356, 0.7140889167785645, -0.6190809607505798]]",3
6,27,1642.6517333984375,"[-0.5030226707458496, -0.3564907908439636, 0.7998810410499573, -0.8700783848762512, -0.13418428599834442, 0.830814003944397, 0.29250776767730713, 0.7526070475578308, -0.8409653306007385, 0.036585383117198944, 0.9613814949989319, -0.9276742935180664, 0.12752382457256317, 0.684556782245636, 0.645194947719574, 0.9701061844825745, -0.6924992203712463, 0.6932860612869263, 0.498184472322464, -0.22988371551036835]",1362.9031982421875,"[[-0.07304828613996506, 0.5787095427513123, 0.7720071077346802, -0.6084023714065552, 0.5429210662841797, 0.8949765563011169, 0.24583417177200317, -0.554884135723114, 0.5684071183204651, 0.12448076903820038, -0.6980717778205872, -0.32820025086402893, 0.4072968661785126, -0.958719789981842, -1.0, 0.9278664588928223, -0.5276837348937988, -0.46241599321365356, 0.7140889167785645, -0.6190809607505798]]",3
7,28,1045.678955078125,"[-0.7787148952484131, 0.7799489498138428, -0.729220986366272, 0.9586058259010315, 0.005418841727077961, -0.5424796938896179, 0.6200442314147949, 0.895409107208252, 0.37269890308380127, -0.6333058476448059, -0.7622787356376648, 0.47124040126800537, -0.8106482625007629, 0.7957384586334229, -0.8922731876373291, 0.3983749747276306, -0.18232645094394684, 0.11204288899898529, 0.7322856187820435, -0.05128072202205658]",1045.678955078125,"[[-0.7787148952484131, 0.7799489498138428, -0.729220986366272, 0.9586058259010315, 0.005418841727077961, -0.5424796938896179, 0.6200442314147949, 0.895409107208252, 0.37269890308380127, -0.6333058476448059, -0.7622787356376648, 0.47124040126800537, -0.8106482625007629, 0.7957384586334229, -0.8922731876373291, 0.3983749747276306, -0.18232645094394684, 0.11204288899898529, 0.7322856187820435, -0.05128072202205658]]",4
8,29,1979.8114013671875,"[-0.11967085301876068, 0.8949341177940369, -0.8660846948623657, -0.9618546962738037, -0.7283843159675598, -0.9934459328651428, 0.3790481388568878, 0.5797705054283142, -0.5722737312316895, -0.8125615119934082, -0.39003151655197144, 0.8188031315803528, 0.6600346565246582, 0.8573099970817566, 0.48158106207847595, 0.11506318300962448, 0.7726920247077942, -0.9754519462585449, 0.9917500615119934, 0.3297730088233948]",1045.678955078125,"[[-0.7787148952484131, 0.7799489498138428, -0.729220986366272, 0.9586058259010315, 0.005418841727077961, -0.5424796938896179, 0.6200442314147949, 0.895409107208252, 0.37269890308380127, -0.6333058476448059, -0.7622787356376648, 0.47124040126800537, -0.8106482625007629, 0.7957384586334229, -0.8922731876373291, 0.3983749747276306, -0.18232645094394684, 0.11204288899898529, 0.7322856187820435, -0.05128072202205658]]",4
9,30,1482.2867431640625,"[-0.7832889556884766, -0.45097506046295166, 0.9832608103752136, 0.8622671365737915, 0.30537843704223633, 0.12982043623924255, -0.6567525863647461, 0.8684307932853699, -0.9826942086219788, -0.0887458547949791, -0.7774197459220886, -0.8472636342048645, -0.08335426449775696, 0.48770198225975037, 0.9185627698898315, -0.6223087906837463, 0.81807541847229, 0.857273280620575, -0.2780904173851013, 0.6932995915412903]",1045.678955078125,"[[-0.7787148952484131, 0.7799489498138428, -0.729220986366272, 0.9586058259010315, 0.005418841727077961, -0.5424796938896179, 0.6200442314147949, 0.895409107208252, 0.37269890308380127, -0.6333058476448059, -0.7622787356376648, 0.47124040126800537, -0.8106482625007629, 0.7957384586334229, -0.8922731876373291, 0.3983749747276306, -0.18232645094394684, 0.11204288899898529, 0.7322856187820435, -0.05128072202205658]]",4
