iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,4.1954779624938965,"[-0.9406242370605469, -0.255016565322876, 0.39228108525276184, -0.4905926585197449, -0.7283137440681458, -0.26592937111854553, -0.6824986934661865, -0.6577811241149902, 0.945534348487854, 0.7728854417800903, 0.7958064079284668, 0.07519368082284927, 0.8711977005004883, -1.0, 0.14442601799964905, 0.5646476745605469, -0.7189794182777405, 0.950966477394104, 0.6085166931152344, -0.8089403510093689]",4.1954779624938965,"[[-0.9406242370605469, -0.255016565322876, 0.39228108525276184, -0.4905926585197449, -0.7283137440681458, -0.26592937111854553, -0.6824986934661865, -0.6577811241149902, 0.945534348487854, 0.7728854417800903, 0.7958064079284668, 0.07519368082284927, 0.8711977005004883, -1.0, 0.14442601799964905, 0.5646476745605469, -0.7189794182777405, 0.950966477394104, 0.6085166931152344, -0.8089403510093689]]",1
1,22,3.9435794353485107,"[0.1431507170200348, 0.5075852870941162, -0.08680329471826553, 0.3269536793231964, -0.15690699219703674, -0.9855636954307556, -0.2957158088684082, 0.17200374603271484, 0.9218541383743286, 0.6654890775680542, 0.7643094062805176, -0.9820669889450073, -0.8473748564720154, -0.6031203866004944, -0.4705689251422882, -0.23844800889492035, 0.7287994623184204, -0.9290613532066345, 0.8113331198692322, -0.8952720165252686]",3.9435794353485107,"[[0.1431507170200348, 0.5075852870941162, -0.08680329471826553, 0.3269536793231964, -0.15690699219703674, -0.9855636954307556, -0.2957158088684082, 0.17200374603271484, 0.9218541383743286, 0.6654890775680542, 0.7643094062805176, -0.9820669889450073, -0.8473748564720154, -0.6031203866004944, -0.4705689251422882, -0.23844800889492035, 0.7287994623184204, -0.9290613532066345, 0.8113331198692322, -0.8952720165252686]]",2
2,23,4.211983680725098,"[0.6584700345993042, -0.5695693492889404, -0.011163927614688873, 0.6337915062904358, 0.12700749933719635, 0.8792241215705872, 0.9052941203117371, -0.9301829934120178, -0.6945177912712097, -0.8700090646743774, 0.07891091704368591, 1.0, 0.5699068307876587, 0.9925606846809387, -0.941758394241333, 0.9949824810028076, -0.9326510429382324, 0.4735519289970398, 0.5439311265945435, 0.6273705363273621]",3.9435794353485107,"[[0.1431507170200348, 0.5075852870941162, -0.08680329471826553, 0.3269536793231964, -0.15690699219703674, -0.9855636954307556, -0.2957158088684082, 0.17200374603271484, 0.9218541383743286, 0.6654890775680542, 0.7643094062805176, -0.9820669889450073, -0.8473748564720154, -0.6031203866004944, -0.4705689251422882, -0.23844800889492035, 0.7287994623184204, -0.9290613532066345, 0.8113331198692322, -0.8952720165252686]]",2
3,24,4.314523220062256,"[0.9119428992271423, -0.5783165693283081, 0.9177126884460449, -0.8304848670959473, -0.9349636435508728, 0.5324145555496216, -0.4233647584915161, 0.15501746535301208, 0.3736710250377655, 0.6667262315750122, -0.48558592796325684, -0.660976231098175, -0.9271023869514465, -0.9537865519523621, -0.851567268371582, -0.5522439479827881, 0.09044838696718216, -0.43419787287712097, 0.46808382868766785, 0.48411351442337036]",3.9435794353485107,"[[0.1431507170200348, 0.5075852870941162, -0.08680329471826553, 0.3269536793231964, -0.15690699219703674, -0.9855636954307556, -0.2957158088684082, 0.17200374603271484, 0.9218541383743286, 0.6654890775680542, 0.7643094062805176, -0.9820669889450073, -0.8473748564720154, -0.6031203866004944, -0.4705689251422882, -0.23844800889492035, 0.7287994623184204, -0.9290613532066345, 0.8113331198692322, -0.8952720165252686]]",2
4,25,4.44749116897583,"[-0.8627517819404602, -0.8731873631477356, 0.5338201522827148, -0.475572794675827, -0.6663439273834229, 0.4956813454627991, -0.9397009611129761, -0.13335669040679932, 0.8121851682662964, 0.6740408539772034, -0.6961838006973267, -0.7014541625976562, 0.9276570677757263, 0.8014145493507385, -0.6161676645278931, 0.696367621421814, 0.9277627468109131, 0.4495660066604614, 0.5746025443077087, 0.4953347444534302]",3.9435794353485107,"[[0.1431507170200348, 0.5075852870941162, -0.08680329471826553, 0.3269536793231964, -0.15690699219703674, -0.9855636954307556, -0.2957158088684082, 0.17200374603271484, 0.9218541383743286, 0.6654890775680542, 0.7643094062805176, -0.9820669889450073, -0.8473748564720154, -0.6031203866004944, -0.4705689251422882, -0.23844800889492035, 0.7287994623184204, -0.9290613532066345, 0.8113331198692322, -0.8952720165252686]]",2
5,26,4.038361549377441,"[0.9656229019165039, 0.17261192202568054, 0.25351816415786743, -0.7258270382881165, -0.7818441987037659, -0.7126691937446594, 0.8099455833435059, -0.252655565738678, -0.7485777735710144, -0.8046528697013855, 0.9405118823051453, 0.43011972308158875, 0.8292686939239502, -0.17896252870559692, 0.4117993712425232, -0.6273111701011658, -0.15817289054393768, 0.33331093192100525, 0.9913301467895508, 1.0]",3.9435794353485107,"[[0.1431507170200348, 0.5075852870941162, -0.08680329471826553, 0.3269536793231964, -0.15690699219703674, -0.9855636954307556, -0.2957158088684082, 0.17200374603271484, 0.9218541383743286, 0.6654890775680542, 0.7643094062805176, -0.9820669889450073, -0.8473748564720154, -0.6031203866004944, -0.4705689251422882, -0.23844800889492035, 0.7287994623184204, -0.9290613532066345, 0.8113331198692322, -0.8952720165252686]]",2
6,27,4.260557651519775,"[-0.7055323123931885, -0.8899465799331665, 0.9701532125473022, 0.6834864020347595, 0.6677662134170532, 0.6037634015083313, -0.9748919010162354, 0.039961058646440506, 0.38228413462638855, -0.1175641119480133, -0.3225873112678528, 0.9002218246459961, 0.7238754630088806, -0.7500837445259094, 0.9656373262405396, -0.6841089129447937, -0.9142773151397705, 0.4041510224342346, 0.9816135168075562, 0.6144070029258728]",3.9435794353485107,"[[0.1431507170200348, 0.5075852870941162, -0.08680329471826553, 0.3269536793231964, -0.15690699219703674, -0.9855636954307556, -0.2957158088684082, 0.17200374603271484, 0.9218541383743286, 0.6654890775680542, 0.7643094062805176, -0.9820669889450073, -0.8473748564720154, -0.6031203866004944, -0.4705689251422882, -0.23844800889492035, 0.7287994623184204, -0.9290613532066345, 0.8113331198692322, -0.8952720165252686]]",2
7,28,4.03046989440918,"[0.655044674873352, 0.3709142804145813, 0.9982180595397949, -0.4451434314250946, -0.13140195608139038, 0.2120303064584732, 0.8782339692115784, 0.8136130571365356, -0.7379523515701294, -0.9717402458190918, 0.3971749544143677, -0.47621339559555054, -0.7774792909622192, -0.14437800645828247, -0.7269690036773682, 0.9308710694313049, -0.3154246509075165, -0.026780758053064346, -0.5033811330795288, 0.9091640114784241]",3.9435794353485107,"[[0.1431507170200348, 0.5075852870941162, -0.08680329471826553, 0.3269536793231964, -0.15690699219703674, -0.9855636954307556, -0.2957158088684082, 0.17200374603271484, 0.9218541383743286, 0.6654890775680542, 0.7643094062805176, -0.9820669889450073, -0.8473748564720154, -0.6031203866004944, -0.4705689251422882, -0.23844800889492035, 0.7287994623184204, -0.9290613532066345, 0.8113331198692322, -0.8952720165252686]]",2
8,29,3.919666051864624,"[0.09090148657560349, -0.29450321197509766, -0.824215292930603, 0.19737961888313293, -0.574850857257843, 0.09029412269592285, -0.9596418142318726, 0.92380291223526, 0.7666102647781372, -0.9859676957130432, -0.910852313041687, 0.46107017993927, -0.8723111748695374, 0.8478628993034363, -0.7505403757095337, -0.15480676293373108, 0.6367697715759277, -0.19799883663654327, 0.7168692350387573, -0.37027931213378906]",3.919666051864624,"[[0.09090148657560349, -0.29450321197509766, -0.824215292930603, 0.19737961888313293, -0.574850857257843, 0.09029412269592285, -0.9596418142318726, 0.92380291223526, 0.7666102647781372, -0.9859676957130432, -0.910852313041687, 0.46107017993927, -0.8723111748695374, 0.8478628993034363, -0.7505403757095337, -0.15480676293373108, 0.6367697715759277, -0.19799883663654327, 0.7168692350387573, -0.37027931213378906]]",3
9,30,4.368332386016846,"[-0.3241354525089264, 0.7776051759719849, -0.8824564814567566, 0.3556655943393707, -0.7494295835494995, 0.4545610249042511, 0.321254700422287, 0.630582869052887, -0.5275436639785767, 0.6855314373970032, 0.632628321647644, -0.9724779725074768, 0.43324217200279236, -0.2956855595111847, -0.9310460090637207, -0.8212981820106506, 0.8653045296669006, 0.9337437152862549, -1.0, 1.0]",3.919666051864624,"[[0.09090148657560349, -0.29450321197509766, -0.824215292930603, 0.19737961888313293, -0.574850857257843, 0.09029412269592285, -0.9596418142318726, 0.92380291223526, 0.7666102647781372, -0.9859676957130432, -0.910852313041687, 0.46107017993927, -0.8723111748695374, 0.8478628993034363, -0.7505403757095337, -0.15480676293373108, 0.6367697715759277, -0.19799883663654327, 0.7168692350387573, -0.37027931213378906]]",3
10,31,4.130284309387207,"[0.8451434373855591, 0.2556011378765106, 0.6977730393409729, -0.2607075572013855, -0.9618622064590454, -0.9922420978546143, 0.10312619060277939, -0.28311437368392944, -0.5527645349502563, -0.19842156767845154, -0.5394356846809387, 0.7625023722648621, -0.763500988483429, -0.9089488387107849, 0.7595885992050171, 0.8571058511734009, -0.7099722623825073, 0.9085486531257629, 0.470035582780838, 0.37455177307128906]",3.919666051864624,"[[0.09090148657560349, -0.29450321197509766, -0.824215292930603, 0.19737961888313293, -0.574850857257843, 0.09029412269592285, -0.9596418142318726, 0.92380291223526, 0.7666102647781372, -0.9859676957130432, -0.910852313041687, 0.46107017993927, -0.8723111748695374, 0.8478628993034363, -0.7505403757095337, -0.15480676293373108, 0.6367697715759277, -0.19799883663654327, 0.7168692350387573, -0.37027931213378906]]",3
11,32,4.001944065093994,"[-0.12812073528766632, -0.7683179378509521, 0.7656504511833191, 0.7459834814071655, 0.3597937524318695, 0.7122108936309814, 0.9709416627883911, 0.251313179731369, -0.9253904819488525, 0.8613172173500061, -0.8953326344490051, 0.5356990098953247, -0.6660506129264832, -0.7616282105445862, -0.011917896568775177, 0.9680250287055969, 0.2050294578075409, 0.8275771737098694, 0.7965715527534485, -0.2510504424571991]",3.919666051864624,"[[0.09090148657560349, -0.29450321197509766, -0.824215292930603, 0.19737961888313293, -0.574850857257843, 0.09029412269592285, -0.9596418142318726, 0.92380291223526, 0.7666102647781372, -0.9859676957130432, -0.910852313041687, 0.46107017993927, -0.8723111748695374, 0.8478628993034363, -0.7505403757095337, -0.15480676293373108, 0.6367697715759277, -0.19799883663654327, 0.7168692350387573, -0.37027931213378906]]",3
