iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,8379.64453125,"[-0.3034837245941162, 0.5872623920440674, 0.2594568729400635, -0.8513250350952148, 0.06674563884735107, 0.8297034502029419, -0.2533133029937744, 0.6577212810516357, 0.7813191413879395, -0.7738783359527588, -0.12856805324554443, -0.7403721809387207, -0.5479899644851685, 0.79060959815979, 0.2507445812225342, -0.9913341999053955, -0.21992182731628418, 0.9878953695297241, -0.9821021556854248, 0.6533844470977783]",8379.64453125,"[[-0.3034837245941162, 0.5872623920440674, 0.2594568729400635, -0.8513250350952148, 0.06674563884735107, 0.8297034502029419, -0.2533133029937744, 0.6577212810516357, 0.7813191413879395, -0.7738783359527588, -0.12856805324554443, -0.7403721809387207, -0.5479899644851685, 0.79060959815979, 0.2507445812225342, -0.9913341999053955, -0.21992182731628418, 0.9878953695297241, -0.9821021556854248, 0.6533844470977783]]",1
1,22,8381.67578125,"[0.08663070201873779, 0.5239307880401611, -0.5021896362304688, 0.867195725440979, 0.9317694902420044, 0.6349208354949951, -0.3738417625427246, -0.3441258668899536, -0.809749960899353, -0.5287158489227295, -0.9949705600738525, 0.7352467775344849, -0.9948723316192627, -0.8453421592712402, -0.23513281345367432, -0.31806230545043945, 0.23217415809631348, -0.9654792547225952, -0.36283254623413086, 0.5567582845687866]",8379.64453125,"[[-0.3034837245941162, 0.5872623920440674, 0.2594568729400635, -0.8513250350952148, 0.06674563884735107, 0.8297034502029419, -0.2533133029937744, 0.6577212810516357, 0.7813191413879395, -0.7738783359527588, -0.12856805324554443, -0.7403721809387207, -0.5479899644851685, 0.79060959815979, 0.2507445812225342, -0.9913341999053955, -0.21992182731628418, 0.9878953695297241, -0.9821021556854248, 0.6533844470977783]]",1
2,23,8377.880859375,"[-0.7779419422149658, 0.3139733076095581, 0.4411078691482544, 0.6402065753936768, -0.7281830310821533, 0.3414188623428345, 0.11051738262176514, 0.3433898687362671, 0.5116100311279297, 0.7448538541793823, 0.8869197368621826, 0.6396385431289673, 0.5912601947784424, -0.9181584119796753, 0.02533280849456787, 0.7179301977157593, -0.9311552047729492, -0.42579877376556396, -0.6635771989822388, 0.9973267316818237]",8377.880859375,"[[-0.7779419422149658, 0.3139733076095581, 0.4411078691482544, 0.6402065753936768, -0.7281830310821533, 0.3414188623428345, 0.11051738262176514, 0.3433898687362671, 0.5116100311279297, 0.7448538541793823, 0.8869197368621826, 0.6396385431289673, 0.5912601947784424, -0.9181584119796753, 0.02533280849456787, 0.7179301977157593, -0.9311552047729492, -0.42579877376556396, -0.6635771989822388, 0.9973267316818237]]",2
3,24,8380.2041015625,"[0.932402491569519, -0.8970611095428467, 0.5202027559280396, -0.3693273067474365, -0.6566636562347412, -0.3739511966705322, -0.15072977542877197, -0.795269250869751, -0.8675402402877808, 0.8397840261459351, 0.9271383285522461, -0.7031174898147583, 0.9539084434509277, -0.19628989696502686, 0.02702188491821289, -0.6022133827209473, -0.24948322772979736, -0.29318487644195557, 0.7551776170730591, -0.2906990051269531]",8377.880859375,"[[-0.7779419422149658, 0.3139733076095581, 0.4411078691482544, 0.6402065753936768, -0.7281830310821533, 0.3414188623428345, 0.11051738262176514, 0.3433898687362671, 0.5116100311279297, 0.7448538541793823, 0.8869197368621826, 0.6396385431289673, 0.5912601947784424, -0.9181584119796753, 0.02533280849456787, 0.7179301977157593, -0.9311552047729492, -0.42579877376556396, -0.6635771989822388, 0.9973267316818237]]",2
4,25,8376.60546875,"[0.852392315864563, 0.547629714012146, 0.8509937524795532, 0.7918400764465332, -0.09582936763763428, -0.01624882221221924, -0.6497893333435059, 0.8540109395980835, -0.4526113271713257, 0.8793154954910278, -0.12055528163909912, 0.9211536645889282, -0.6130993366241455, -0.2808339595794678, -0.7610816955566406, -0.3187286853790283, 0.030186176300048828, 0.9781183004379272, 0.5435986518859863, -0.6512594223022461]",8376.60546875,"[[0.852392315864563, 0.547629714012146, 0.8509937524795532, 0.7918400764465332, -0.09582936763763428, -0.01624882221221924, -0.6497893333435059, 0.8540109395980835, -0.4526113271713257, 0.8793154954910278, -0.12055528163909912, 0.9211536645889282, -0.6130993366241455, -0.2808339595794678, -0.7610816955566406, -0.3187286853790283, 0.030186176300048828, 0.9781183004379272, 0.5435986518859863, -0.6512594223022461]]",3
5,26,8378.865234375,"[-0.3234443664550781, 0.595410943031311, -0.3358774185180664, -0.8933680057525635, 0.5112799406051636, 0.06873226165771484, -0.7163711786270142, 0.82059645652771, -0.41011369228363037, 0.432165265083313, -0.7842556238174438, 0.5798158645629883, 0.9236749410629272, 0.974480390548706, -0.8742178678512573, 0.677049994468689, -0.87053382396698, -0.8543025255203247, 0.8880234956741333, 0.6727941036224365]",8376.60546875,"[[0.852392315864563, 0.547629714012146, 0.8509937524795532, 0.7918400764465332, -0.09582936763763428, -0.01624882221221924, -0.6497893333435059, 0.8540109395980835, -0.4526113271713257, 0.8793154954910278, -0.12055528163909912, 0.9211536645889282, -0.6130993366241455, -0.2808339595794678, -0.7610816955566406, -0.3187286853790283, 0.030186176300048828, 0.9781183004379272, 0.5435986518859863, -0.6512594223022461]]",3
6,27,8382.1826171875,"[0.0033986568450927734, -0.2833292484283447, 0.7504870891571045, -0.7263005971908569, -0.9757381677627563, -0.8365610837936401, -0.8679161071777344, 0.8058450222015381, 0.6621904373168945, 0.9586960077285767, 0.5308501720428467, -0.07628345489501953, -0.8456393480300903, 0.11851739883422852, -0.8406729698181152, -0.8369467258453369, 0.29611051082611084, -0.771699070930481, 0.8381094932556152, -0.9138708114624023]",8376.60546875,"[[0.852392315864563, 0.547629714012146, 0.8509937524795532, 0.7918400764465332, -0.09582936763763428, -0.01624882221221924, -0.6497893333435059, 0.8540109395980835, -0.4526113271713257, 0.8793154954910278, -0.12055528163909912, 0.9211536645889282, -0.6130993366241455, -0.2808339595794678, -0.7610816955566406, -0.3187286853790283, 0.030186176300048828, 0.9781183004379272, 0.5435986518859863, -0.6512594223022461]]",3
7,28,8379.5302734375,"[0.26209306716918945, 0.6134642362594604, 0.2765406370162964, -0.6048891544342041, -0.6573499441146851, 0.05278670787811279, -0.9976764917373657, -0.6460468769073486, 0.07293272018432617, 0.8667266368865967, 0.8359689712524414, -0.16291427612304688, 0.9749612808227539, -0.8727420568466187, -0.7482602596282959, 0.9232831001281738, -0.690735936164856, 0.9541184902191162, 0.6284921169281006, -0.8876266479492188]",8376.60546875,"[[0.852392315864563, 0.547629714012146, 0.8509937524795532, 0.7918400764465332, -0.09582936763763428, -0.01624882221221924, -0.6497893333435059, 0.8540109395980835, -0.4526113271713257, 0.8793154954910278, -0.12055528163909912, 0.9211536645889282, -0.6130993366241455, -0.2808339595794678, -0.7610816955566406, -0.3187286853790283, 0.030186176300048828, 0.9781183004379272, 0.5435986518859863, -0.6512594223022461]]",3
8,29,8379.984375,"[-0.7105857133865356, -0.9858168363571167, 0.14531171321868896, 0.7984803915023804, 0.2791557312011719, 0.6945117712020874, 0.9882700443267822, 0.45640337467193604, -0.8556591272354126, -0.5425164699554443, 0.28968143463134766, 0.6069579124450684, 0.0859602689743042, -0.011896729469299316, -0.5058516263961792, -0.5724571943283081, -0.5042903423309326, -0.6742849349975586, 0.9985557794570923, -0.4273020029067993]",8376.60546875,"[[0.852392315864563, 0.547629714012146, 0.8509937524795532, 0.7918400764465332, -0.09582936763763428, -0.01624882221221924, -0.6497893333435059, 0.8540109395980835, -0.4526113271713257, 0.8793154954910278, -0.12055528163909912, 0.9211536645889282, -0.6130993366241455, -0.2808339595794678, -0.7610816955566406, -0.3187286853790283, 0.030186176300048828, 0.9781183004379272, 0.5435986518859863, -0.6512594223022461]]",3
9,30,8379.5263671875,"[-0.9916402101516724, 0.7590087652206421, 0.614829421043396, 0.46529650688171387, -0.9800409078598022, -0.35126185417175293, -0.18186259269714355, -0.7933388948440552, -0.704373836517334, -0.037500977516174316, 0.9004193544387817, 0.19521164894104004, -0.6694328784942627, -0.0923236608505249, 0.8925113677978516, 0.5781567096710205, 0.7156069278717041, 0.4946693181991577, -0.1082460880279541, -0.5252557992935181]",8376.60546875,"[[0.852392315864563, 0.547629714012146, 0.8509937524795532, 0.7918400764465332, -0.09582936763763428, -0.01624882221221924, -0.6497893333435059, 0.8540109395980835, -0.4526113271713257, 0.8793154954910278, -0.12055528163909912, 0.9211536645889282, -0.6130993366241455, -0.2808339595794678, -0.7610816955566406, -0.3187286853790283, 0.030186176300048828, 0.9781183004379272, 0.5435986518859863, -0.6512594223022461]]",3
