iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,8377.6806640625,"[0.8557837009429932, 0.8904533982276917, 0.7062312960624695, -0.7435328364372253, -0.6419769525527954, -0.8600594401359558, -0.411226361989975, -0.9689172506332397, 0.7177813053131104, 0.6902552247047424, 0.1642610728740692, -0.8585436344146729, 0.18496406078338623, -0.526094913482666, 0.9874299764633179, 0.7927133440971375, 0.8963022232055664, 0.18851959705352783, -0.4518176317214966, 0.8559492230415344]",8377.6806640625,"[[0.8557837009429932, 0.8904533982276917, 0.7062312960624695, -0.7435328364372253, -0.6419769525527954, -0.8600594401359558, -0.411226361989975, -0.9689172506332397, 0.7177813053131104, 0.6902552247047424, 0.1642610728740692, -0.8585436344146729, 0.18496406078338623, -0.526094913482666, 0.9874299764633179, 0.7927133440971375, 0.8963022232055664, 0.18851959705352783, -0.4518176317214966, 0.8559492230415344]]",1
1,22,8381.9658203125,"[0.7866441607475281, -0.8697412014007568, 0.7200509905815125, -0.8159910440444946, -0.25865283608436584, -0.44678521156311035, -0.9457821249961853, -0.9151944518089294, -0.5507410168647766, 0.9056585431098938, -0.7029056549072266, 0.8575564026832581, -0.3623426556587219, -0.6743306517601013, -0.7883666753768921, 0.5901091694831848, -0.9931222796440125, 0.8276408910751343, 0.49153438210487366, 0.1638043075799942]",8377.6806640625,"[[0.8557837009429932, 0.8904533982276917, 0.7062312960624695, -0.7435328364372253, -0.6419769525527954, -0.8600594401359558, -0.411226361989975, -0.9689172506332397, 0.7177813053131104, 0.6902552247047424, 0.1642610728740692, -0.8585436344146729, 0.18496406078338623, -0.526094913482666, 0.9874299764633179, 0.7927133440971375, 0.8963022232055664, 0.18851959705352783, -0.4518176317214966, 0.8559492230415344]]",1
2,23,8378.4140625,"[-0.6903831958770752, 0.6433747410774231, -0.25135812163352966, 1.0, -0.7786880731582642, 0.49831342697143555, 0.5224295258522034, 0.9337157011032104, -0.3400622010231018, 0.19031792879104614, -0.9757096171379089, 0.5040981769561768, -0.24670246243476868, -0.452507883310318, -0.8310078382492065, 0.9284873604774475, 0.5373321771621704, 0.6467527747154236, -0.893252968788147, 0.6987377405166626]",8377.6806640625,"[[0.8557837009429932, 0.8904533982276917, 0.7062312960624695, -0.7435328364372253, -0.6419769525527954, -0.8600594401359558, -0.411226361989975, -0.9689172506332397, 0.7177813053131104, 0.6902552247047424, 0.1642610728740692, -0.8585436344146729, 0.18496406078338623, -0.526094913482666, 0.9874299764633179, 0.7927133440971375, 0.8963022232055664, 0.18851959705352783, -0.4518176317214966, 0.8559492230415344]]",1
3,24,8380.09765625,"[-0.928896427154541, 0.6283050179481506, 0.38840240240097046, -0.39353811740875244, -0.8095996975898743, -0.7051569223403931, 0.8342201113700867, -0.45600786805152893, -0.3283654451370239, 0.44517844915390015, 0.9254141449928284, -0.3314193785190582, -0.3894403278827667, -0.8162907958030701, 0.8191420435905457, 0.905634880065918, -0.8434579372406006, -0.09735633432865143, 0.9098641276359558, -0.753575325012207]",8377.6806640625,"[[0.8557837009429932, 0.8904533982276917, 0.7062312960624695, -0.7435328364372253, -0.6419769525527954, -0.8600594401359558, -0.411226361989975, -0.9689172506332397, 0.7177813053131104, 0.6902552247047424, 0.1642610728740692, -0.8585436344146729, 0.18496406078338623, -0.526094913482666, 0.9874299764633179, 0.7927133440971375, 0.8963022232055664, 0.18851959705352783, -0.4518176317214966, 0.8559492230415344]]",1
4,25,8378.03125,"[0.4354320168495178, 0.39796173572540283, 0.9749055504798889, 0.1418592780828476, -0.4005435109138489, -0.8964176774024963, -0.6329835057258606, 0.27162301540374756, 0.5399029850959778, -0.7428439259529114, -0.6218162775039673, 0.7466967701911926, -0.9206469058990479, 0.9948908090591431, 0.8976059556007385, 0.616249680519104, -0.7632509469985962, -0.41890856623649597, 0.8399620056152344, 0.7157800197601318]",8377.6806640625,"[[0.8557837009429932, 0.8904533982276917, 0.7062312960624695, -0.7435328364372253, -0.6419769525527954, -0.8600594401359558, -0.411226361989975, -0.9689172506332397, 0.7177813053131104, 0.6902552247047424, 0.1642610728740692, -0.8585436344146729, 0.18496406078338623, -0.526094913482666, 0.9874299764633179, 0.7927133440971375, 0.8963022232055664, 0.18851959705352783, -0.4518176317214966, 0.8559492230415344]]",1
5,26,8379.349609375,"[0.5199028849601746, 0.5366242527961731, 0.675264835357666, -0.7460196614265442, 0.9887697696685791, 0.6442146301269531, -0.9921945333480835, 0.6174716353416443, -0.8050500154495239, -0.6408120393753052, -0.6010858416557312, -0.1691179722547531, 0.7828739881515503, 0.4644261300563812, 0.4135502576828003, -0.35276496410369873, -0.8451305627822876, -0.7860484719276428, 0.8440578579902649, 0.058540310710668564]",8377.6806640625,"[[0.8557837009429932, 0.8904533982276917, 0.7062312960624695, -0.7435328364372253, -0.6419769525527954, -0.8600594401359558, -0.411226361989975, -0.9689172506332397, 0.7177813053131104, 0.6902552247047424, 0.1642610728740692, -0.8585436344146729, 0.18496406078338623, -0.526094913482666, 0.9874299764633179, 0.7927133440971375, 0.8963022232055664, 0.18851959705352783, -0.4518176317214966, 0.8559492230415344]]",1
6,27,8381.34765625,"[-0.7348043322563171, 0.9522420763969421, 0.684316873550415, 0.7473800182342529, -0.6036394834518433, 0.4880950152873993, -0.7638002634048462, -0.9656071662902832, 0.6231680512428284, 1.0, -0.7455046772956848, -0.6091991066932678, 1.0, -0.5538116693496704, -0.7319552302360535, -0.5046073198318481, -0.4121662378311157, -0.9842247366905212, -0.8502686619758606, 0.5586399435997009]",8377.6806640625,"[[0.8557837009429932, 0.8904533982276917, 0.7062312960624695, -0.7435328364372253, -0.6419769525527954, -0.8600594401359558, -0.411226361989975, -0.9689172506332397, 0.7177813053131104, 0.6902552247047424, 0.1642610728740692, -0.8585436344146729, 0.18496406078338623, -0.526094913482666, 0.9874299764633179, 0.7927133440971375, 0.8963022232055664, 0.18851959705352783, -0.4518176317214966, 0.8559492230415344]]",1
7,28,8381.1484375,"[-0.7835330963134766, 0.7230451107025146, 0.6082725524902344, -0.4189365804195404, -0.973248302936554, 0.7810698747634888, 0.9004892110824585, -0.5018689632415771, -0.19694198668003082, -0.21326525509357452, -0.717050313949585, -0.8434193730354309, 0.5829665064811707, 0.8372801542282104, -0.3134510815143585, -0.6489532589912415, 0.49297699332237244, -0.6907796263694763, 0.20728905498981476, -0.9186158776283264]",8377.6806640625,"[[0.8557837009429932, 0.8904533982276917, 0.7062312960624695, -0.7435328364372253, -0.6419769525527954, -0.8600594401359558, -0.411226361989975, -0.9689172506332397, 0.7177813053131104, 0.6902552247047424, 0.1642610728740692, -0.8585436344146729, 0.18496406078338623, -0.526094913482666, 0.9874299764633179, 0.7927133440971375, 0.8963022232055664, 0.18851959705352783, -0.4518176317214966, 0.8559492230415344]]",1
8,29,8379.6796875,"[-0.7532411217689514, 0.26472142338752747, 0.6897436380386353, -0.6451320052146912, -0.6898800730705261, 0.32005003094673157, 0.25761181116104126, 0.8689193725585938, -0.9898841977119446, -0.7530198097229004, -0.6326925754547119, 0.774282693862915, -0.6665537357330322, 0.7617782354354858, 0.9532740712165833, -0.6550462245941162, 0.9121017456054688, 0.6800047755241394, -0.795570969581604, 0.24721692502498627]",8377.6806640625,"[[0.8557837009429932, 0.8904533982276917, 0.7062312960624695, -0.7435328364372253, -0.6419769525527954, -0.8600594401359558, -0.411226361989975, -0.9689172506332397, 0.7177813053131104, 0.6902552247047424, 0.1642610728740692, -0.8585436344146729, 0.18496406078338623, -0.526094913482666, 0.9874299764633179, 0.7927133440971375, 0.8963022232055664, 0.18851959705352783, -0.4518176317214966, 0.8559492230415344]]",1
9,30,8379.2841796875,"[-0.9993773698806763, -0.5854592323303223, 0.8157892227172852, -0.049167927354574203, 0.026260171085596085, 0.5599253177642822, 0.2632763087749481, -0.8494821190834045, 0.9697325825691223, 0.963640570640564, -0.8867011666297913, 0.9194848537445068, -0.8827228546142578, -0.329918771982193, 0.8081839084625244, -1.0, 0.6537750959396362, 0.07927694171667099, -0.2953820526599884, 0.4309607744216919]",8377.6806640625,"[[0.8557837009429932, 0.8904533982276917, 0.7062312960624695, -0.7435328364372253, -0.6419769525527954, -0.8600594401359558, -0.411226361989975, -0.9689172506332397, 0.7177813053131104, 0.6902552247047424, 0.1642610728740692, -0.8585436344146729, 0.18496406078338623, -0.526094913482666, 0.9874299764633179, 0.7927133440971375, 0.8963022232055664, 0.18851959705352783, -0.4518176317214966, 0.8559492230415344]]",1
