iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,824.28759765625,"[-0.8625498414039612, -0.4355361759662628, -1.0, -0.8003368973731995, 0.12679992616176605, 0.7118168473243713, 0.6103649139404297, 0.6649712324142456, -0.19452904164791107, 0.9279196262359619]",824.28759765625,"[[-0.8625498414039612, -0.4355361759662628, -1.0, -0.8003368973731995, 0.12679992616176605, 0.7118168473243713, 0.6103649139404297, 0.6649712324142456, -0.19452904164791107, 0.9279196262359619]]",1
1,22,682.7647094726562,"[0.7192116975784302, 0.07280785590410233, 0.38043925166130066, 0.9027050733566284, -0.06896190345287323, 0.5832902193069458, -0.4892827570438385, 0.5548487305641174, -0.8650172352790833, -0.8486796617507935]",682.7647094726562,"[[0.7192116975784302, 0.07280785590410233, 0.38043925166130066, 0.9027050733566284, -0.06896190345287323, 0.5832902193069458, -0.4892827570438385, 0.5548487305641174, -0.8650172352790833, -0.8486796617507935]]",2
2,23,516.7957763671875,"[-0.9799342155456543, 0.8216066956520081, -0.791628360748291, 0.5791558027267456, -0.9281293749809265, 0.6643390655517578, -0.48045599460601807, 0.06506868451833725, 0.28585636615753174, -0.42413046956062317]",516.7957763671875,"[[-0.9799342155456543, 0.8216066956520081, -0.791628360748291, 0.5791558027267456, -0.9281293749809265, 0.6643390655517578, -0.48045599460601807, 0.06506868451833725, 0.28585636615753174, -0.42413046956062317]]",3
3,24,579.6171875,"[-0.5650252103805542, -0.9113918542861938, 0.145765483379364, -0.07736273109912872, 0.850068211555481, 0.6878200769424438, -0.2907218337059021, -0.20777910947799683, 0.8563159704208374, -0.5499238967895508]",516.7957763671875,"[[-0.9799342155456543, 0.8216066956520081, -0.791628360748291, 0.5791558027267456, -0.9281293749809265, 0.6643390655517578, -0.48045599460601807, 0.06506868451833725, 0.28585636615753174, -0.42413046956062317]]",3
4,25,344.4437561035156,"[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
5,26,511.7925720214844,"[0.9263538122177124, 0.2631163001060486, 0.9387006759643555, 0.07390740513801575, -0.5365374088287354, -0.4412611126899719, -0.4333941340446472, -0.6356015205383301, -0.41410017013549805, 0.9858299493789673]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
6,27,419.2077941894531,"[0.12953698635101318, 0.8232560753822327, 0.4276670813560486, -0.05138353258371353, 0.6911844611167908, -0.9424679279327393, 0.7993760704994202, 0.7176299095153809, -0.23786889016628265, -0.46766865253448486]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
7,28,586.645263671875,"[0.7762618660926819, -0.05132612586021423, -0.39758938550949097, -0.395332008600235, 0.8234374523162842, -0.5426502227783203, -0.8932873606681824, -0.3184913992881775, -0.2353900969028473, -0.29583412408828735]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
8,29,1176.6856689453125,"[0.8987330198287964, -0.9694302082061768, -0.7289226055145264, -0.5605502128601074, 0.3318706750869751, -0.6978625059127808, 0.9181500673294067, -0.6013370752334595, -0.8705536127090454, 0.7906019687652588]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
9,30,550.1121215820312,"[0.8576495051383972, -0.4844205677509308, 0.7347913384437561, -0.07598071545362473, -0.28179141879081726, -0.733770489692688, 0.9433403611183167, 0.610973060131073, 0.9177473783493042, -0.5785101652145386]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
10,31,712.1401977539062,"[-0.6629196405410767, 0.8864204287528992, 0.5347049236297607, -0.5377123951911926, -0.8894599676132202, 0.4037162959575653, 0.9272862076759338, -0.4225987493991852, 0.7560492753982544, -0.8301816582679749]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
11,32,1283.5797119140625,"[0.8684408664703369, 0.8552519679069519, -0.14375288784503937, -0.8257461190223694, -0.8546996116638184, -0.9720340967178345, 0.7895763516426086, -0.9953590631484985, -0.6106869578361511, -0.45644325017929077]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
12,33,830.0740966796875,"[0.615075945854187, -1.0, -0.32679513096809387, -0.8122504353523254, -0.6109198331832886, 0.9844598770141602, 0.6232309937477112, -0.7452381253242493, 0.8628295063972473, 0.346476286649704]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
13,34,807.003173828125,"[-0.9564641118049622, 0.520679235458374, -0.7651664018630981, 0.6116335391998291, 0.8058813214302063, 0.7964752912521362, -0.30635854601860046, -0.8291905522346497, -0.8792507648468018, -0.737050473690033]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
14,35,1270.058349609375,"[0.9980496168136597, -0.9451816082000732, -0.8379301428794861, -0.4762386381626129, -0.4126574695110321, 0.9515389800071716, -0.8935412764549255, 0.5548633337020874, 0.5301495790481567, 0.44940751791000366]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
15,36,951.2215576171875,"[1.0, 0.2432403564453125, 0.5227559208869934, 0.6847098469734192, -0.9372603893280029, -0.3489208519458771, -0.7517192363739014, -0.9064983129501343, 0.9700635671615601, -0.46951302886009216]",344.4437561035156,"[[-0.5816630125045776, 0.24294911324977875, -0.7445404529571533, 0.2232687771320343, 0.45970943570137024, -0.8448150753974915, 0.3910118043422699, 0.32676073908805847, 0.9854583144187927, 0.3564136028289795]]",4
16,37,285.96368408203125,"[0.8933749198913574, 0.7418474555015564, -0.1211213767528534, 0.9214853048324585, 0.5514853000640869, 0.7803859710693359, 0.688707172870636, 0.19282931089401245, -0.9857863783836365, 0.7018922567367554]",285.96368408203125,"[[0.8933749198913574, 0.7418474555015564, -0.1211213767528534, 0.9214853048324585, 0.5514853000640869, 0.7803859710693359, 0.688707172870636, 0.19282931089401245, -0.9857863783836365, 0.7018922567367554]]",5
17,38,798.2561645507812,"[-0.9264675974845886, -0.795213520526886, -0.4813390374183655, 0.9059457778930664, -0.4774891436100006, -0.4813975989818573, 0.8615782856941223, 0.8156344294548035, -0.2231931984424591, -0.10097075998783112]",285.96368408203125,"[[0.8933749198913574, 0.7418474555015564, -0.1211213767528534, 0.9214853048324585, 0.5514853000640869, 0.7803859710693359, 0.688707172870636, 0.19282931089401245, -0.9857863783836365, 0.7018922567367554]]",5
