iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,739.6881103515625,"[0.6214628219604492, -0.5342586040496826, -0.8860588073730469, 0.5165354013442993, -0.9957984685897827, -0.21012485027313232, 0.795663595199585, 0.8226163387298584, 0.8319084644317627, -0.45836198329925537]",739.6881103515625,"[[0.6214628219604492, -0.5342586040496826, -0.8860588073730469, 0.5165354013442993, -0.9957984685897827, -0.21012485027313232, 0.795663595199585, 0.8226163387298584, 0.8319084644317627, -0.45836198329925537]]",1
1,22,679.9093017578125,"[-0.13440704345703125, -0.20317864418029785, 0.39825665950775146, 0.951698899269104, 0.845038652420044, 0.43356120586395264, -0.9609434604644775, 0.8948572874069214, -0.9380965232849121, -0.32675230503082275]",679.9093017578125,"[[-0.13440704345703125, -0.20317864418029785, 0.39825665950775146, 0.951698899269104, 0.845038652420044, 0.43356120586395264, -0.9609434604644775, 0.8948572874069214, -0.9380965232849121, -0.32675230503082275]]",2
2,23,908.744384765625,"[0.8759784698486328, -0.5814911127090454, -0.8143978118896484, -0.9924770593643188, 0.8865755796432495, 0.4672517776489258, 0.37383103370666504, 0.6875079870223999, -0.8609552383422852, -0.17747771739959717]",679.9093017578125,"[[-0.13440704345703125, -0.20317864418029785, 0.39825665950775146, 0.951698899269104, 0.845038652420044, 0.43356120586395264, -0.9609434604644775, 0.8948572874069214, -0.9380965232849121, -0.32675230503082275]]",2
3,24,685.6808471679688,"[-0.8778519630432129, 0.7556160688400269, -0.8521623611450195, -0.33859801292419434, -0.27779674530029297, 0.985826849937439, -0.5391832590103149, 0.21017301082611084, 0.06869900226593018, 0.538081169128418]",679.9093017578125,"[[-0.13440704345703125, -0.20317864418029785, 0.39825665950775146, 0.951698899269104, 0.845038652420044, 0.43356120586395264, -0.9609434604644775, 0.8948572874069214, -0.9380965232849121, -0.32675230503082275]]",2
4,25,514.7962646484375,"[-0.9894545078277588, 0.9633125066757202, 0.9123382568359375, 0.6206811666488647, -0.7149858474731445, -0.8254891633987427, 0.821307897567749, -0.5094658136367798, -0.44597911834716797, 0.0032175779342651367]",514.7962646484375,"[[-0.9894545078277588, 0.9633125066757202, 0.9123382568359375, 0.6206811666488647, -0.7149858474731445, -0.8254891633987427, 0.821307897567749, -0.5094658136367798, -0.44597911834716797, 0.0032175779342651367]]",3
5,26,722.5748901367188,"[-0.021775245666503906, -0.975684404373169, 0.9371163845062256, -0.6478279829025269, 0.06309843063354492, -0.8204751014709473, -0.2604438066482544, 0.9631273746490479, 0.0771784782409668, -0.7670385837554932]",514.7962646484375,"[[-0.9894545078277588, 0.9633125066757202, 0.9123382568359375, 0.6206811666488647, -0.7149858474731445, -0.8254891633987427, 0.821307897567749, -0.5094658136367798, -0.44597911834716797, 0.0032175779342651367]]",3
6,27,599.2760009765625,"[0.25140905380249023, -0.8601775169372559, -0.3539421558380127, 0.9211159944534302, 0.5962016582489014, -0.3732941150665283, 0.35194504261016846, -0.9869447946548462, 0.056870102882385254, -0.6775350570678711]",514.7962646484375,"[[-0.9894545078277588, 0.9633125066757202, 0.9123382568359375, 0.6206811666488647, -0.7149858474731445, -0.8254891633987427, 0.821307897567749, -0.5094658136367798, -0.44597911834716797, 0.0032175779342651367]]",3
7,28,968.9590454101562,"[-0.42218685150146484, 0.998979926109314, -0.854333758354187, 0.18866097927093506, 0.9896197319030762, -0.9575109481811523, 0.8681157827377319, 0.4449862241744995, 0.07685458660125732, 0.6436774730682373]",514.7962646484375,"[[-0.9894545078277588, 0.9633125066757202, 0.9123382568359375, 0.6206811666488647, -0.7149858474731445, -0.8254891633987427, 0.821307897567749, -0.5094658136367798, -0.44597911834716797, 0.0032175779342651367]]",3
8,29,808.0846557617188,"[-0.7019946575164795, -0.9826552867889404, 0.34964287281036377, -0.9877946376800537, 0.4426238536834717, -0.3044368028640747, 0.9810279607772827, -0.6080704927444458, 0.9347518682479858, 0.7167220115661621]",514.7962646484375,"[[-0.9894545078277588, 0.9633125066757202, 0.9123382568359375, 0.6206811666488647, -0.7149858474731445, -0.8254891633987427, 0.821307897567749, -0.5094658136367798, -0.44597911834716797, 0.0032175779342651367]]",3
9,30,981.868408203125,"[0.9389442205429077, -0.2908402681350708, 0.9589998722076416, -0.8290128707885742, 0.01530003547668457, 0.7264993190765381, 0.5687885284423828, -0.9225444793701172, -0.5296562910079956, 0.523414134979248]",514.7962646484375,"[[-0.9894545078277588, 0.9633125066757202, 0.9123382568359375, 0.6206811666488647, -0.7149858474731445, -0.8254891633987427, 0.821307897567749, -0.5094658136367798, -0.44597911834716797, 0.0032175779342651367]]",3
10,31,480.0615234375,"[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
11,32,884.9014282226562,"[-0.980925440788269, 0.750626802444458, 0.5019351243972778, 0.9928196668624878, -0.21400690078735352, -0.12213444709777832, -0.9366453886032104, -0.8178515434265137, 0.9074002504348755, -0.8523005247116089]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
12,33,945.6481323242188,"[-0.10650956630706787, 0.7937109470367432, -0.7354702949523926, -0.7725876569747925, -0.512972354888916, 0.8130115270614624, 0.8670121431350708, -0.7438629865646362, 0.414949893951416, -0.9639037847518921]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
13,34,613.1066284179688,"[0.7276171445846558, 0.556476354598999, 0.11039447784423828, -0.428145170211792, 0.7352818250656128, -0.9115393161773682, -0.6273599863052368, -0.5880180597305298, 0.8648561239242554, 0.6887716054916382]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
14,35,652.4955444335938,"[0.8937457799911499, 0.9572881460189819, -0.32004737854003906, -0.0492168664932251, -0.9720891714096069, 0.46795654296875, -0.8387385606765747, 0.8855226039886475, -0.5305546522140503, -0.5917717218399048]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
15,36,654.8204345703125,"[0.3815937042236328, -0.9614251852035522, 0.40558910369873047, 0.9862512350082397, -0.7261714935302734, 0.7044954299926758, -0.3423088788986206, 0.1353299617767334, 0.23635506629943848, 0.8315545320510864]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
16,37,704.6749877929688,"[-0.13896775245666504, -0.8894187211990356, -0.7453409433364868, 0.23375427722930908, -0.44778668880462646, -0.850578784942627, -0.668004035949707, 0.6723141670227051, 0.830702543258667, 0.3747655153274536]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
17,38,605.9581909179688,"[-0.12690842151641846, 0.3427424430847168, 0.8791468143463135, -0.818618655204773, 0.8834761381149292, 0.6822855472564697, -0.29044175148010254, -0.3003194332122803, 0.8192588090896606, -0.5322848558425903]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
18,39,1064.472900390625,"[-0.7762075662612915, -0.604077935218811, 0.9335073232650757, -0.8361724615097046, 0.48308324813842773, 0.9804766178131104, -0.3973311185836792, 0.878639817237854, -0.8938016891479492, 0.5640537738800049]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
19,40,1438.975341796875,"[-0.08835172653198242, -0.6821346282958984, -0.9788938760757446, -0.9479097127914429, -0.743266224861145, -0.6022440195083618, 0.9037795066833496, 0.999733567237854, -0.892966628074646, 0.5756523609161377]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
20,41,762.5574951171875,"[0.6315320730209351, 0.3218042850494385, 0.5961991548538208, -0.8614935874938965, -0.12086701393127441, -0.8029800653457642, -0.9935568571090698, 0.6894118785858154, -0.7057477235794067, 0.8958463668823242]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
21,42,695.45458984375,"[-0.7736172676086426, 0.8846505880355835, 0.7270165681838989, -0.5015227794647217, 0.971894383430481, -0.6204981803894043, 0.7197118997573853, -0.5380061864852905, -0.29078423976898193, -0.9896582365036011]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
22,43,913.5397338867188,"[-0.15707647800445557, -0.8351825475692749, -0.6640348434448242, 0.09518468379974365, 0.621277928352356, 0.15202653408050537, -0.8609594106674194, -0.8069190979003906, -0.9629684686660767, 0.8181142807006836]",480.0615234375,"[[0.9482460021972656, 0.6410921812057495, 0.5804712772369385, 0.5198872089385986, -0.3574725389480591, -0.6279698610305786, 0.7369418144226074, 0.8716621398925781, -0.9841340780258179, 0.377315878868103]]",4
23,44,396.4942321777344,"[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
24,45,893.6966552734375,"[0.5109989643096924, 0.9831931591033936, 0.8419860601425171, 0.49274468421936035, -0.8701889514923096, 0.8506819009780884, -0.7822197675704956, -0.8594731092453003, -0.8516300916671753, 0.670568585395813]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
25,46,738.5760498046875,"[0.5049183368682861, 0.9506144523620605, -0.7135195732116699, 0.4660618305206299, 0.9513909816741943, 0.8213596343994141, -0.7701414823532104, -0.21706700325012207, -0.11465013027191162, -0.9223546981811523]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
26,47,1057.119873046875,"[0.8967833518981934, -0.6034657955169678, 0.9465286731719971, 0.9838871955871582, -0.9335500001907349, 0.2777198553085327, -0.8854976892471313, -0.6024982929229736, 0.4730006456375122, -0.9077645540237427]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
27,48,1279.0916748046875,"[-0.8878519535064697, -0.9482743740081787, -0.9391636848449707, 0.3872262239456177, 0.6817131042480469, 0.6600290536880493, -0.9553443193435669, -0.1867600679397583, 0.8003953695297241, -0.7487764358520508]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
28,49,437.9827575683594,"[-0.9343051910400391, 0.28041768074035645, -0.3340877294540405, 0.7464407682418823, 0.2195127010345459, 0.35234534740448, 0.9555696249008179, 0.6518948078155518, 0.7918338775634766, -0.8835301399230957]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
29,50,1255.1654052734375,"[0.38647007942199707, 0.95045006275177, -0.8843064308166504, 0.9846426248550415, -0.9772593975067139, 0.35433053970336914, 0.7537193298339844, -0.7080593109130859, -0.9144519567489624, 0.24830317497253418]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
30,51,509.77935791015625,"[0.06471848487854004, 0.09252631664276123, 0.9386123418807983, 0.8845775127410889, 0.6554712057113647, -0.9715509414672852, 0.8731173276901245, 0.6735022068023682, 0.9644746780395508, -0.45295870304107666]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
31,52,396.9358215332031,"[-0.7031327486038208, -0.23586702346801758, 0.8731763362884521, 0.9591559171676636, 0.46586740016937256, 0.5218394994735718, 0.8356469869613647, -0.6159785985946655, 0.7430400848388672, 0.9721975326538086]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
32,53,812.30322265625,"[0.9321572780609131, 0.8326717615127563, -0.9026036262512207, -0.7013764381408691, -0.8090273141860962, -0.25413215160369873, 0.7684201002120972, 0.8070536851882935, 0.8533264398574829, 0.9730566740036011]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
33,54,999.370361328125,"[0.9006601572036743, -0.2810553312301636, 0.9345682859420776, -0.8443169593811035, -0.7362281084060669, 0.878800630569458, -0.5274671316146851, 0.9580875635147095, 0.8673582077026367, -0.051524996757507324]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
34,55,1578.224853515625,"[0.9654983282089233, -0.10082864761352539, -0.27090227603912354, -0.35898053646087646, 0.9977052211761475, -0.947293758392334, -0.7335948944091797, -0.8857871294021606, -0.8293911218643188, -0.8753716945648193]",396.4942321777344,"[[-0.7628051042556763, 0.7270349264144897, 0.2402489185333252, 0.6732321977615356, -0.8572213649749756, 0.8802288770675659, 0.9941242933273315, 0.35902440547943115, -0.9585015773773193, 0.9525737762451172]]",5
