iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,568.9331665039062,"[-0.800697922706604, -0.8844175338745117, -0.17481911182403564, 0.17760729789733887, 0.506557822227478, 0.11916303634643555, 0.6525046825408936, 0.16014182567596436, 0.4729430675506592, -0.9562584161758423]",568.9331665039062,"[[-0.800697922706604, -0.8844175338745117, -0.17481911182403564, 0.17760729789733887, 0.506557822227478, 0.11916303634643555, 0.6525046825408936, 0.16014182567596436, 0.4729430675506592, -0.9562584161758423]]",1
1,22,545.5924682617188,"[-0.5000642538070679, -0.429315447807312, -0.7761826515197754, 0.5292097330093384, -0.8330419063568115, -0.5159444808959961, -0.21330058574676514, 0.891956090927124, 0.5855339765548706, 0.8152809143066406]",545.5924682617188,"[[-0.5000642538070679, -0.429315447807312, -0.7761826515197754, 0.5292097330093384, -0.8330419063568115, -0.5159444808959961, -0.21330058574676514, 0.891956090927124, 0.5855339765548706, 0.8152809143066406]]",2
2,23,1166.2698974609375,"[-0.7322252988815308, 0.9888596534729004, 0.7567379474639893, -0.9378247261047363, 0.4095879793167114, -0.9889965057373047, -0.8206044435501099, -0.9191688299179077, -0.3982727527618408, 0.38356590270996094]",545.5924682617188,"[[-0.5000642538070679, -0.429315447807312, -0.7761826515197754, 0.5292097330093384, -0.8330419063568115, -0.5159444808959961, -0.21330058574676514, 0.891956090927124, 0.5855339765548706, 0.8152809143066406]]",2
3,24,539.5953979492188,"[0.7709985971450806, 0.5850273370742798, 0.40264999866485596, 0.23917388916015625, -0.07267642021179199, -0.5113250017166138, 0.8918555974960327, -0.8122217655181885, -0.35183680057525635, -0.8763453960418701]",539.5953979492188,"[[0.7709985971450806, 0.5850273370742798, 0.40264999866485596, 0.23917388916015625, -0.07267642021179199, -0.5113250017166138, 0.8918555974960327, -0.8122217655181885, -0.35183680057525635, -0.8763453960418701]]",3
4,25,363.567626953125,"[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
5,26,801.6844482421875,"[-0.6605743169784546, -0.2772338390350342, -0.9407628774642944, 0.7440130710601807, -0.2820451259613037, 0.9148871898651123, 0.700818657875061, -0.9933294057846069, -0.6067196130752563, 0.7285901308059692]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
6,27,419.1692810058594,"[-0.31927716732025146, 0.6620032787322998, -0.6698355674743652, -0.309520959854126, 0.5374956130981445, -0.9567087888717651, 0.8317884206771851, 0.5128837823867798, -0.08887839317321777, 0.22573018074035645]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
7,28,701.5643310546875,"[-0.9443328380584717, 0.5461194515228271, 0.6218401193618774, -0.6725038290023804, -0.6750433444976807, 0.7179349660873413, 0.852055549621582, 0.5411763191223145, -0.9529498815536499, -0.6704479455947876]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
8,29,655.4088745117188,"[0.9600019454956055, 0.7443304061889648, -0.44881975650787354, -0.6692371368408203, 0.1980438232421875, -0.6955015659332275, -0.40166306495666504, 0.8224600553512573, 0.9830998182296753, -0.6879074573516846]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
9,30,683.082763671875,"[0.9436526298522949, 0.7437466382980347, -0.7771059274673462, 0.985885739326477, -0.38976597785949707, 0.3325437307357788, -0.9770809412002563, 0.2740687131881714, -0.3696862459182739, -0.8848891258239746]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
10,31,1173.6962890625,"[0.7522586584091187, -0.9737882614135742, 0.044631004333496094, 0.12281477451324463, -0.9758672714233398, -0.634404182434082, 0.3936276435852051, 0.9540796279907227, -0.8257137537002563, -0.4246124029159546]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
11,32,1021.00390625,"[0.8249578475952148, -0.6908807754516602, 0.8143167495727539, 0.9041033983230591, 0.9183334112167358, -0.9661159515380859, -0.9661386013031006, 0.05932116508483887, 0.6085547208786011, 0.5046911239624023]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
12,33,931.0911865234375,"[0.9825811386108398, 0.09900796413421631, 0.8844488859176636, -0.889495849609375, -0.7748208045959473, 0.9927395582199097, -0.13716411590576172, -0.33339130878448486, -0.8210614919662476, 0.707099199295044]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
13,34,654.910888671875,"[-0.82607102394104, 0.7069711685180664, 0.8677687644958496, 0.7849653959274292, 0.792861819267273, 0.848705530166626, -0.9957921504974365, 0.9008073806762695, -0.8934746980667114, 0.19737744331359863]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
14,35,580.5936279296875,"[-0.8267034292221069, -0.98884117603302, 0.9737293720245361, 0.8212159872055054, -0.7406802177429199, 0.691388726234436, -0.08751797676086426, -0.628164529800415, 0.563014030456543, 0.046393632888793945]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
15,36,667.9200439453125,"[-0.5627334117889404, 0.8139464855194092, -0.3186734914779663, 0.8344812393188477, 0.13677847385406494, 0.05955493450164795, -0.9632977247238159, -0.8545620441436768, 0.9244186878204346, 0.2751106023788452]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
16,37,806.3347778320312,"[0.6630040407180786, -0.8849591016769409, 0.913070797920227, -0.9622198343276978, 0.8516134023666382, -0.6068623065948486, 0.9209518432617188, 0.21468567848205566, -0.16028201580047607, 0.6708968877792358]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
17,38,421.6191101074219,"[0.5517449378967285, -0.3263430595397949, -0.8025424480438232, -0.1867358684539795, -0.6351237297058105, 0.9676195383071899, 0.9579646587371826, 0.9980068206787109, 0.18083631992340088, 0.9063831567764282]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
18,39,1051.600830078125,"[-0.1892538070678711, 0.8811678886413574, 0.693168044090271, -0.856494665145874, -0.6650127172470093, 0.8694270849227905, -0.7546979188919067, -0.7729363441467285, 0.5614496469497681, -0.9658282995223999]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
19,40,629.7237548828125,"[-0.9602059125900269, 0.8254234790802002, 0.06618118286132812, 0.8181772232055664, -0.38209450244903564, -0.07447075843811035, -0.22399187088012695, 0.9829250574111938, 0.8980425596237183, -0.9462839365005493]",363.567626953125,"[[0.4773291349411011, -0.3792365789413452, -0.32647430896759033, -0.9803615808486938, 0.5938050746917725, 0.6684598922729492, -0.38578176498413086, -0.2082003355026245, -0.47327566146850586, -0.41264986991882324]]",4
