iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,8379.0869140625,"[0.5942882299423218, 0.43194901943206787, -0.48403310775756836, 0.7247428894042969, 0.18339085578918457, 0.9153945446014404, 0.325040340423584, 0.15679538249969482, -0.44149065017700195, -0.0029183626174926758, 0.18533766269683838, -0.13132381439208984, -0.8143805265426636, 0.6281849145889282, 0.628940224647522, -0.5714640617370605, 0.19536268711090088, -0.46528899669647217, -0.8669419288635254, -0.24319744110107422]",8379.0869140625,"[[0.5942882299423218, 0.43194901943206787, -0.48403310775756836, 0.7247428894042969, 0.18339085578918457, 0.9153945446014404, 0.325040340423584, 0.15679538249969482, -0.44149065017700195, -0.0029183626174926758, 0.18533766269683838, -0.13132381439208984, -0.8143805265426636, 0.6281849145889282, 0.628940224647522, -0.5714640617370605, 0.19536268711090088, -0.46528899669647217, -0.8669419288635254, -0.24319744110107422]]",1
1,22,8376.5009765625,"[0.20807945728302002, -0.5278463363647461, 0.7546219825744629, 0.563968300819397, -0.25964176654815674, 0.45526719093322754, 0.8597159385681152, 0.918030858039856, -0.19943439960479736, -0.3339111804962158, 0.765155553817749, 0.36456072330474854, 0.11457037925720215, 0.32927143573760986, -0.1389085054397583, 0.5107249021530151, 0.10174107551574707, -0.13001477718353271, 0.04982936382293701, -0.30239975452423096]",8376.5009765625,"[[0.20807945728302002, -0.5278463363647461, 0.7546219825744629, 0.563968300819397, -0.25964176654815674, 0.45526719093322754, 0.8597159385681152, 0.918030858039856, -0.19943439960479736, -0.3339111804962158, 0.765155553817749, 0.36456072330474854, 0.11457037925720215, 0.32927143573760986, -0.1389085054397583, 0.5107249021530151, 0.10174107551574707, -0.13001477718353271, 0.04982936382293701, -0.30239975452423096]]",2
2,23,8378.9453125,"[-0.28750109672546387, -0.4212653636932373, 0.042641520500183105, 0.23846673965454102, 0.8563185930252075, -0.003268003463745117, -0.33546364307403564, 0.5013853311538696, -0.2049858570098877, -0.056391239166259766, -0.2629275321960449, 0.6888700723648071, -0.754152774810791, 0.2247246503829956, 0.9491647481918335, -0.7758111953735352, 0.5667155981063843, -0.13594865798950195, 0.22357690334320068, -0.42659735679626465]",8376.5009765625,"[[0.20807945728302002, -0.5278463363647461, 0.7546219825744629, 0.563968300819397, -0.25964176654815674, 0.45526719093322754, 0.8597159385681152, 0.918030858039856, -0.19943439960479736, -0.3339111804962158, 0.765155553817749, 0.36456072330474854, 0.11457037925720215, 0.32927143573760986, -0.1389085054397583, 0.5107249021530151, 0.10174107551574707, -0.13001477718353271, 0.04982936382293701, -0.30239975452423096]]",2
3,24,8381.4794921875,"[-0.9453220367431641, 0.16130077838897705, -0.3611130714416504, 0.5331040620803833, 0.18670976161956787, -0.006611824035644531, -0.5634752511978149, -0.5904573202133179, -0.1707550287246704, -0.1848299503326416, 0.3302009105682373, -0.2645834684371948, 0.5574131011962891, 0.015673160552978516, -0.1701812744140625, 0.5154656171798706, -0.4283895492553711, -0.5873994827270508, -0.525275468826294, -0.176924467086792]",8376.5009765625,"[[0.20807945728302002, -0.5278463363647461, 0.7546219825744629, 0.563968300819397, -0.25964176654815674, 0.45526719093322754, 0.8597159385681152, 0.918030858039856, -0.19943439960479736, -0.3339111804962158, 0.765155553817749, 0.36456072330474854, 0.11457037925720215, 0.32927143573760986, -0.1389085054397583, 0.5107249021530151, 0.10174107551574707, -0.13001477718353271, 0.04982936382293701, -0.30239975452423096]]",2
4,25,8377.8701171875,"[-0.33042144775390625, 0.03782689571380615, 0.5524704456329346, -0.32568359375, 0.3965282440185547, -0.18211519718170166, -0.4420675039291382, 0.2916252613067627, 0.17189574241638184, 0.2007296085357666, 0.15642452239990234, 0.12257981300354004, 0.7363604307174683, 0.01880931854248047, 0.11789441108703613, 0.2113713026046753, -0.28376734256744385, 0.16073203086853027, 0.5207532644271851, 0.6978670358657837]",8376.5009765625,"[[0.20807945728302002, -0.5278463363647461, 0.7546219825744629, 0.563968300819397, -0.25964176654815674, 0.45526719093322754, 0.8597159385681152, 0.918030858039856, -0.19943439960479736, -0.3339111804962158, 0.765155553817749, 0.36456072330474854, 0.11457037925720215, 0.32927143573760986, -0.1389085054397583, 0.5107249021530151, 0.10174107551574707, -0.13001477718353271, 0.04982936382293701, -0.30239975452423096]]",2
5,26,8379.419921875,"[-0.5226919651031494, -0.31856703758239746, 0.5127096176147461, -0.0017472505569458008, -0.20869648456573486, 0.17677700519561768, 0.40026795864105225, -0.1125187873840332, 0.05844283103942871, 0.5693682432174683, -0.3696277141571045, -0.9345914125442505, 0.6375471353530884, 0.12525856494903564, -0.18365585803985596, 0.39306938648223877, 0.10336005687713623, 0.5807206630706787, -0.599770188331604, 0.2657216787338257]",8376.5009765625,"[[0.20807945728302002, -0.5278463363647461, 0.7546219825744629, 0.563968300819397, -0.25964176654815674, 0.45526719093322754, 0.8597159385681152, 0.918030858039856, -0.19943439960479736, -0.3339111804962158, 0.765155553817749, 0.36456072330474854, 0.11457037925720215, 0.32927143573760986, -0.1389085054397583, 0.5107249021530151, 0.10174107551574707, -0.13001477718353271, 0.04982936382293701, -0.30239975452423096]]",2
6,27,8381.248046875,"[0.5634490251541138, -0.15113234519958496, -0.9233098030090332, -0.7239943742752075, 0.1340644359588623, 0.5594202280044556, 0.37864959239959717, -0.21952581405639648, -0.5880134105682373, -0.485599160194397, 0.3200641870498657, 0.7570449113845825, -0.7091289758682251, -0.0569835901260376, 0.021762967109680176, -0.2959038019180298, 0.3210972547531128, -0.06905090808868408, -0.8403476476669312, 0.012091517448425293]",8376.5009765625,"[[0.20807945728302002, -0.5278463363647461, 0.7546219825744629, 0.563968300819397, -0.25964176654815674, 0.45526719093322754, 0.8597159385681152, 0.918030858039856, -0.19943439960479736, -0.3339111804962158, 0.765155553817749, 0.36456072330474854, 0.11457037925720215, 0.32927143573760986, -0.1389085054397583, 0.5107249021530151, 0.10174107551574707, -0.13001477718353271, 0.04982936382293701, -0.30239975452423096]]",2
7,28,8382.1728515625,"[-0.13917899131774902, -0.5247271060943604, 0.15552794933319092, -0.12979888916015625, 0.37451672554016113, -0.24974274635314941, -0.3461238145828247, -0.14335262775421143, 0.5045983791351318, 0.5635430812835693, -0.08068573474884033, -0.6259245872497559, -0.5312118530273438, -0.8457584381103516, -0.35561037063598633, -0.5307638645172119, -0.17705249786376953, -0.5495468378067017, -0.3256218433380127, -0.0871434211730957]",8376.5009765625,"[[0.20807945728302002, -0.5278463363647461, 0.7546219825744629, 0.563968300819397, -0.25964176654815674, 0.45526719093322754, 0.8597159385681152, 0.918030858039856, -0.19943439960479736, -0.3339111804962158, 0.765155553817749, 0.36456072330474854, 0.11457037925720215, 0.32927143573760986, -0.1389085054397583, 0.5107249021530151, 0.10174107551574707, -0.13001477718353271, 0.04982936382293701, -0.30239975452423096]]",2
8,29,8385.52734375,"[-0.5356649160385132, -0.7897028923034668, 0.28336942195892334, 0.037401556968688965, 0.6032407283782959, -0.9710267782211304, -0.8465895652770996, -0.6422016620635986, 0.5508219003677368, -0.46513473987579346, -0.2908029556274414, -0.19619572162628174, -0.8628252744674683, -0.9445246458053589, -0.4903649091720581, -0.5228497982025146, -0.42707133293151855, -0.6716784238815308, 0.07709336280822754, -0.6953603029251099]",8376.5009765625,"[[0.20807945728302002, -0.5278463363647461, 0.7546219825744629, 0.563968300819397, -0.25964176654815674, 0.45526719093322754, 0.8597159385681152, 0.918030858039856, -0.19943439960479736, -0.3339111804962158, 0.765155553817749, 0.36456072330474854, 0.11457037925720215, 0.32927143573760986, -0.1389085054397583, 0.5107249021530151, 0.10174107551574707, -0.13001477718353271, 0.04982936382293701, -0.30239975452423096]]",2
9,30,8384.1064453125,"[-0.636384129524231, -0.6468212604522705, -0.6389379501342773, -0.09767341613769531, -0.369956374168396, -0.04095911979675293, 0.4257683753967285, 0.11530888080596924, -0.1079937219619751, 0.024936795234680176, -0.6217906475067139, -0.34234631061553955, 0.13735651969909668, -0.24890124797821045, -0.2517799139022827, -0.9017343521118164, -0.7261017560958862, -0.9856119155883789, -0.3329780101776123, -0.026399970054626465]",8376.5009765625,"[[0.20807945728302002, -0.5278463363647461, 0.7546219825744629, 0.563968300819397, -0.25964176654815674, 0.45526719093322754, 0.8597159385681152, 0.918030858039856, -0.19943439960479736, -0.3339111804962158, 0.765155553817749, 0.36456072330474854, 0.11457037925720215, 0.32927143573760986, -0.1389085054397583, 0.5107249021530151, 0.10174107551574707, -0.13001477718353271, 0.04982936382293701, -0.30239975452423096]]",2
