iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,8375.8603515625,"[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
1,22,8379.3984375,"[-0.8593924045562744, 0.32004594802856445, -0.0530472993850708, -0.011301159858703613, -0.31170737743377686, -0.5202062129974365, 0.4993133544921875, 0.5166585445404053, -0.19623756408691406, 0.274739146232605, 0.31382906436920166, -0.3174401521682739, 0.9201251268386841, 0.12476325035095215, 0.48490166664123535, 0.33048784732818604, 0.2743583917617798, -0.20612621307373047, -0.580101490020752, -0.535108208656311]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
2,23,8380.6767578125,"[0.2411954402923584, -0.42452776432037354, -0.5432319641113281, 0.10036444664001465, -0.7120096683502197, -0.03982961177825928, -0.34238457679748535, -0.3766484260559082, -0.24224519729614258, -0.21441352367401123, 0.19006121158599854, 0.7010271549224854, 0.6064198017120361, -0.05408298969268799, -0.34202635288238525, -0.054001569747924805, 0.45598840713500977, -0.24562883377075195, -0.48832833766937256, -0.13296079635620117]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
3,24,8377.150390625,"[0.7832504510879517, 0.10097789764404297, -0.21475088596343994, 0.6384625434875488, 0.8485150337219238, -0.050406694412231445, -0.1303035020828247, 0.5100198984146118, 0.22665715217590332, 0.26259660720825195, -0.6469316482543945, -0.6887291669845581, 0.6549792289733887, 0.3267240524291992, -0.10372495651245117, -0.37661242485046387, 0.5583620071411133, 0.25910937786102295, -0.2842036485671997, 0.7043646574020386]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
4,25,8379.6162109375,"[0.9326901435852051, 0.3001821041107178, -0.3496370315551758, 0.5519003868103027, -0.028367161750793457, 0.25910377502441406, -0.06659913063049316, -0.6745389699935913, -0.39602017402648926, -0.2901726961135864, -0.2800830602645874, 0.39888858795166016, 0.3460448980331421, 0.47930216789245605, -0.5258620977401733, 0.6117154359817505, 0.7929656505584717, -0.6149413585662842, -0.8000427484512329, -0.7157981395721436]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
5,26,8378.3291015625,"[0.1657949686050415, -0.5125784873962402, -0.029138922691345215, 0.4230862855911255, -0.09534776210784912, 0.3275707960128784, 0.052675843238830566, -0.4104342460632324, 0.194771409034729, -0.16782426834106445, 0.20734810829162598, 0.43116021156311035, 0.32279717922210693, 0.04157209396362305, 0.4716501235961914, 0.6640455722808838, 0.5077188014984131, -0.057309865951538086, -0.8544836044311523, 0.6433553695678711]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
6,27,8380.337890625,"[0.5605278015136719, -0.5141454935073853, -0.27682316303253174, 0.08616435527801514, -0.7466005086898804, -0.32027482986450195, 0.44757044315338135, 0.3345838785171509, 0.4205435514450073, -0.7419376373291016, 0.2948228120803833, 0.2512558698654175, 0.2889057397842407, -0.3613077402114868, 0.2965431213378906, 0.30897581577301025, -0.10775530338287354, -0.5324009656906128, -0.09139358997344971, -0.26808810234069824]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
7,28,8379.0126953125,"[0.08977711200714111, 0.3058745861053467, -0.6706115007400513, 0.2468632459640503, 0.4140864610671997, 0.2656748294830322, 0.50706946849823, -0.6196210384368896, 0.3298025131225586, 0.39070045948028564, 0.34370386600494385, 0.10621857643127441, 0.20841693878173828, 0.570772647857666, 0.07587933540344238, -0.47522056102752686, -0.47420525550842285, 0.693387508392334, -0.5452638864517212, -0.2547694444656372]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
8,29,8378.6669921875,"[-0.18069469928741455, 8.237361907958984e-05, -0.038369059562683105, 0.6400363445281982, 0.20764470100402832, -0.35482263565063477, -0.5456781387329102, 0.28221631050109863, 0.3754594326019287, 0.4583669900894165, -0.5231564044952393, -0.17124903202056885, 0.8613564968109131, -0.07115435600280762, 0.38653290271759033, -0.3051323890686035, 0.5591467618942261, -0.4984574317932129, -0.06345605850219727, 0.18101835250854492]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
9,30,8378.7001953125,"[-0.12900125980377197, -0.23366069793701172, -0.40328800678253174, -0.030752897262573242, 0.0952138900756836, 0.5190105438232422, 0.45815885066986084, 0.49577975273132324, -0.1518491506576538, 0.9324600696563721, 0.7946573495864868, -0.22423362731933594, -0.30196404457092285, 0.17629921436309814, 0.40032005310058594, 0.2747039794921875, -0.7505096197128296, 0.3328315019607544, -0.4750022888183594, -0.6254855394363403]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
10,31,8380.748046875,"[-0.929322361946106, 0.22156190872192383, -0.1316770315170288, -0.4298281669616699, 0.12813246250152588, 0.1560535430908203, 0.5939537286758423, -0.0980539321899414, -0.24075841903686523, 0.5521849393844604, 0.25063836574554443, -0.3804861307144165, -0.5252532958984375, -0.00010800361633300781, 0.20412170886993408, 0.19118273258209229, -0.13430631160736084, 0.18223941326141357, -0.8479607105255127, 0.13707423210144043]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
11,32,8377.0888671875,"[0.2662471532821655, 0.5251790285110474, -0.455608606338501, 0.23715603351593018, 0.22137606143951416, -0.6242871284484863, 0.974785327911377, 0.6070735454559326, 0.1743093729019165, 0.7291908264160156, 0.18487799167633057, 0.4892704486846924, 0.30731260776519775, 0.6906839609146118, -0.1415722370147705, -0.20404624938964844, -3.814697265625e-05, -0.046268582344055176, 0.19961929321289062, -0.42846453189849854]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
12,33,8378.9208984375,"[0.5875462293624878, 0.3951396942138672, -0.37754392623901367, 0.3154555559158325, -0.3149198293685913, -0.41925323009490967, -0.1540910005569458, 0.12073838710784912, 0.14664006233215332, -0.22388970851898193, 0.43946731090545654, -0.4510040283203125, 0.9161331653594971, -0.07303059101104736, 0.7341160774230957, 0.06789684295654297, 0.8509352207183838, -0.7987321615219116, -0.8064851760864258, -0.1755542755126953]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
13,34,8379.666015625,"[0.08607518672943115, -0.022061586380004883, -0.17412900924682617, 0.256938099861145, -0.10080349445343018, 0.9227390289306641, 0.37865209579467773, -0.22612297534942627, 0.0017358064651489258, 0.04284977912902832, -0.5421549081802368, -0.26492512226104736, 0.5467967987060547, 0.8918784856796265, 0.213639497756958, 0.08591711521148682, -0.5033494234085083, 0.034360647201538086, -0.8261888027191162, -0.8397216796875]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
14,35,8381.2021484375,"[-0.1735243797302246, 0.08735120296478271, -0.6654634475708008, -0.3043050765991211, 0.007499814033508301, -0.6537150144577026, 0.8778460025787354, 0.3845027685165405, 0.3879920244216919, -0.14613759517669678, 0.11328506469726562, -0.07862544059753418, -0.15578150749206543, -0.6142982244491577, -0.17897212505340576, -0.09673941135406494, -0.8889614343643188, -0.11231791973114014, -0.8165432214736938, 0.6607589721679688]",8375.8603515625,"[[-0.07928252220153809, -0.1187601089477539, -0.5508241653442383, -0.04871511459350586, 0.9762850999832153, 0.7291460037231445, 0.4122464656829834, 0.2402937412261963, 0.1678624153137207, 0.3529428243637085, 0.45031309127807617, -0.9609173536300659, 0.30210745334625244, 0.9543615579605103, 0.7784044742584229, -0.22601771354675293, 0.7202631235122681, 0.2557988166809082, 0.028603315353393555, 0.8378517627716064]]",1
